work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456388,A5031398497,10,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5046755175,11,"[""I57206974"", ""I2948394018""]",True
10.1109/tvcg.2024.3456388,A5011218910,12,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5039062710,13,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5003584200,14,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456387,A5051941811,1,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456387,A5075939839,2,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456387,A5087805627,3,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456387,A5100660205,4,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456386,A5101626365,1,"[""I99065089""]",True
10.1109/tvcg.2024.3456386,A5066369450,2,"[""I99065089""]",True
10.1109/tvcg.2024.3456386,A5087785265,3,"[""I99065089""]",True
10.1109/tvcg.2024.3456386,A5074461084,4,"[""I99065089""]",True
10.1109/tvcg.2024.3456386,A5105978161,5,"[""I99065089""]",True
10.1109/tvcg.2024.3456385,A5080359624,1,"[""I114027177""]",True
10.1109/tvcg.2024.3456385,A5100379697,2,"[""I114027177""]",True
10.1109/tvcg.2024.3456385,A5032598257,3,"[""I114027177"", ""I8692664""]",True
10.1109/tvcg.2024.3456385,A5056903170,4,"[""I114027177""]",True
10.1109/tvcg.2024.3456384,A5088860259,1,"[""I181369854""]",True
10.1109/tvcg.2024.3456384,A5107079571,2,"[""I4210138551""]",True
10.1109/tvcg.2024.3456383,A5019545820,1,"[""I223532165""]",True
10.1109/tvcg.2024.3456383,A5082346052,2,"[""I223532165""]",True
10.1109/tvcg.2024.3456383,A5017619650,3,"[""I223532165""]",True
10.1109/tvcg.2024.3456383,A5100349956,4,"[""I223532165""]",True
10.1109/tvcg.2024.3456381,A5100379697,1,"[""I114027177""]",True
10.1109/tvcg.2024.3456381,A5001966756,2,"[""I69048370""]",True
10.1109/tvcg.2024.3456381,A5090060844,3,"[""I141720752""]",True
10.1109/tvcg.2024.3456381,A5100341745,4,"[""I114027177""]",True
10.1109/tvcg.2024.3456381,A5077712580,5,"[""I114027177""]",True
10.1109/tvcg.2024.3456379,A5108322734,1,"[""I4210145386"", ""I20231570""]",True
10.1109/tvcg.2024.3456379,A5038943746,2,"[""I4210145386"", ""I20231570""]",True
10.1109/tvcg.2024.3456378,A5107138911,1,"[""I201448701""]",True
10.1109/tvcg.2024.3456378,A5036469216,2,"[""I1306409833""]",True
10.1109/tvcg.2024.3456378,A5107124370,3,"[""I24603500""]",True
10.1109/tvcg.2024.3456378,A5107124371,4,"[""I1306409833""]",True
10.1109/tvcg.2024.3456378,A5067858887,5,"[""I130701444""]",True
10.1109/tvcg.2024.3456377,A5106059833,1,"[""I130238516""]",True
10.1109/tvcg.2024.3456377,A5069553149,2,"[""I1316535847""]",True
10.1109/tvcg.2024.3456377,A5058360336,3,"[""I130238516""]",True
10.1109/tvcg.2024.3456375,A5028521537,1,"[""I4210130112""]",True
10.1109/tvcg.2024.3456375,A5109139516,2,"[""I4210130112""]",True
10.1109/tvcg.2024.3456375,A5066851412,3,"[""I4210130112""]",True
10.1109/tvcg.2024.3456373,A5071409292,1,"[""I84218800""]",True
10.1109/tvcg.2024.3456373,A5101769619,2,"[""I84218800""]",True
10.1109/tvcg.2024.3456373,A5037161857,3,"[""I84218800""]",True
10.1109/tvcg.2024.3456372,A5002440759,1,"[""I52357470""]",True
10.1109/tvcg.2024.3456372,A5108998800,2,"[""I52357470""]",True
10.1109/tvcg.2024.3456372,A5111688622,3,"[""I52357470""]",True
10.1109/tvcg.2024.3456371,A5086597264,1,"[""I63966007""]",True
10.1109/tvcg.2024.3456371,A5010866431,2,"[""I74973139""]",True
10.1109/tvcg.2024.3456371,A5069654367,3,"[""I-1"", ""I4210153776""]",True
10.1109/tvcg.2024.3456371,A5086732355,4,"[""I4210153776"", ""I-1""]",True
10.1109/tvcg.2024.3456371,A5006087928,5,"[""I-1"", ""I4210153776""]",True
10.1109/tvcg.2024.3456371,A5034842879,6,"[""I4210153776"", ""I-1""]",True
10.1109/tvcg.2024.3456370,A5057253726,1,"[""I136199984""]",True
10.1109/tvcg.2024.3456370,A5038027438,2,[],True
10.1109/tvcg.2024.3456370,A5057193188,3,[],True
10.1109/tvcg.2024.3456370,A5069196767,4,[],True
10.1109/tvcg.2024.3456370,A5066335313,5,"[""I136199984""]",True
10.1109/tvcg.2024.3456369,A5100379697,1,"[""I114027177""]",True
10.1109/tvcg.2024.3456369,A5001966756,2,"[""I69048370"", ""I114027177""]",True
10.1109/tvcg.2024.3456369,A5077712580,3,"[""I114027177""]",True
10.1109/tvcg.2024.3456368,A5100726571,1,"[""I69356397""]",True
10.1109/tvcg.2024.3456368,A5083454802,2,"[""I1294671590""]",True
10.1109/tvcg.2024.3456368,A5107093497,3,"[""I69356397""]",True
10.1109/tvcg.2024.3456368,A5031886887,4,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456368,A5102013894,5,"[""I69356397""]",True
10.1109/tvcg.2024.3456367,A5103278717,1,"[""I131249849""]",True
10.1109/tvcg.2024.3456367,A5026074051,2,"[""I131249849""]",True
10.1109/tvcg.2024.3456367,A5100333760,3,"[""I131249849""]",True
10.1109/tvcg.2024.3456366,A5019781916,1,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5101264201,2,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5004299683,3,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5092538664,4,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5049012090,5,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5079222963,6,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5030688487,7,"[""I111979921""]",True
10.1109/tvcg.2024.3456366,A5089605137,8,"[""I111979921""]",True
10.1109/tvcg.2024.3456365,A5033315494,1,"[""I57206974""]",True
10.1109/tvcg.2024.3456365,A5113376026,2,"[""I57206974""]",True
10.1109/tvcg.2024.3456365,A5033801646,3,"[""I4210124949""]",True
10.1109/tvcg.2024.3456365,A5011424640,4,[],True
10.1109/tvcg.2024.3456365,A5003584200,5,"[""I57206974""]",True
10.1109/tvcg.2024.3456363,A5054533523,1,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456363,A5100404535,2,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456363,A5035687843,3,"[""I91045830""]",True
10.1109/tvcg.2024.3456363,A5087236918,4,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456363,A5053220954,5,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456363,A5100451791,6,"[""I889458895"", ""I200769079""]",True
10.1109/tvcg.2024.3456363,A5091466289,7,"[""I200769079"", ""I889458895""]",True
10.1109/tvcg.2024.3456361,A5058162843,1,"[""I151746483""]",True
10.1109/tvcg.2024.3456361,A5001552541,2,"[""I98358874""]",True
