institution_id,MacroCategory,n_papers,doi_list
I103163165,Meshes & Volume Rendering,4,"[""10.1109/visual.2001.964493"", ""10.1109/visual.2002.1183822"", ""10.1109/visual.2003.1250361"", ""10.1109/visual.2005.1532852""]"
I103163165,VIS Literature & Bibliometrics,1,"[""10.1109/visual.2002.1183813""]"
I103406327,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2014.2346913""]"
I103531236,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2021.3114802""]"
I103531236,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2023.3327388""]"
I104914703,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/infvis.2003.1249011"", ""10.1109/infvis.2004.47"", ""10.1109/tvcg.2010.205""]"
I106118109,Meshes & Volume Rendering,1,"[""10.1109/visual.1994.346299""]"
I106165777,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2002.1183788""]"
I107077323,Diffusion MRI & Tractography,2,"[""10.1109/infvis.1999.801858"", ""10.1109/infvis.2002.1173151""]"
I107077323,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2016.2598588"", ""10.1109/tvcg.2016.2599058"", ""10.1109/tvcg.2020.3030345"", ""10.1109/tvcg.2022.3209367"", ""10.1109/vast.2006.261424"", ""10.1109/vast.2009.5333431""]"
I107077323,Meshes & Volume Rendering,2,"[""10.1109/visual.1991.175797"", ""10.1109/visual.1999.809936""]"
I107077323,Time Series & Temporal Patterns,12,"[""10.1109/infvis.2003.1249015"", ""10.1109/infvis.2003.1249016"", ""10.1109/infvis.2004.15"", ""10.1109/infvis.2004.71"", ""10.1109/tvcg.2006.161"", ""10.1109/tvcg.2023.3327165"", ""10.1109/tvcg.2024.3456309"", ""10.1109/vast.2007.4389000"", ""10.1109/vast.2011.6102450"", ""10.1109/visual.1990.146386"", ""10.1109/visual.1994.346302"", ""10.1109/visual.1999.809866""]"
I107077323,Twitter & Social Media,2,"[""10.1109/tvcg.2018.2865117"", ""10.1109/vast.2006.261425""]"
I107257983,Surgical Planning & Tomography,1,"[""10.1109/visual.1992.235229""]"
I107371206,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2020.3030354""]"
I107606265,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2011.253""]"
I107639228,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2015.2468031"", ""10.1109/tvcg.2024.3456342""]"
I107639228,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2018.2864808"", ""10.1109/tvcg.2019.2934255"", ""10.1109/tvcg.2020.3030346"", ""10.1109/tvcg.2021.3114815""]"
I107639228,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/vast.2011.6102458""]"
I107766831,Surgical Planning & Tomography,1,"[""10.1109/visual.2001.964520""]"
I10824318,Twitter & Social Media,1,"[""10.1109/tvcg.2012.200""]"
I108290504,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2009.5332584""]"
I108464949,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1998.745303""]"
I109935558,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2024.3456328""]"
I110152177,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1996.568145""]"
I110378019,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2009.114""]"
I111088046,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2015.2467441"", ""10.1109/visual.1997.663916""]"
I111277659,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2012.189""]"
I111483173,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2014.2346291""]"
I1118541,Diffusion MRI & Tractography,1,"[""10.1109/visual.2002.1183763""]"
I1118541,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2017.2744058""]"
I1118541,Meshes & Volume Rendering,1,"[""10.1109/visual.1996.568104""]"
I1118541,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1995.480802""]"
I111979921,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2012.272""]"
I111979921,Dimensionality Reduction & Multivariate Plots,20,"[""10.1109/infvis.2005.1532142"", ""10.1109/tvcg.2013.183"", ""10.1109/tvcg.2014.2346979"", ""10.1109/tvcg.2017.2744478"", ""10.1109/tvcg.2018.2864884"", ""10.1109/tvcg.2018.2865193"", ""10.1109/tvcg.2018.2865233"", ""10.1109/tvcg.2019.2934786"", ""10.1109/tvcg.2020.3030429"", ""10.1109/tvcg.2021.3114679"", ""10.1109/tvcg.2021.3114820"", ""10.1109/tvcg.2021.3114823"", ""10.1109/tvcg.2022.3209348"", ""10.1109/tvcg.2022.3209405"", ""10.1109/tvcg.2023.3326513"", ""10.1109/tvcg.2023.3326516"", ""10.1109/tvcg.2023.3327195"", ""10.1109/tvcg.2023.3327356"", ""10.1109/tvcg.2024.3456366"", ""10.1109/tvcg.2024.3456402""]"
I111979921,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2021.3114782"", ""10.1109/tvcg.2023.3326583""]"
I111979921,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2023.3326591""]"
I111979921,Time Series & Temporal Patterns,5,"[""10.1109/tvcg.2010.197"", ""10.1109/tvcg.2023.3326943"", ""10.1109/tvcg.2023.3327165"", ""10.1109/tvcg.2024.3456291"", ""10.1109/tvcg.2024.3456309""]"
I111979921,VIS Literature & Bibliometrics,2,"[""10.1109/tvcg.2014.2346424"", ""10.1109/tvcg.2024.3456405""]"
I112260969,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2007.70582"", ""10.1109/tvcg.2009.151"", ""10.1109/tvcg.2010.205""]"
I112756935,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2019.2934337""]"
I113508548,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1997.663915""]"
I113979032,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2016.2598590"", ""10.1109/tvcg.2020.3030406"", ""10.1109/vast.2014.7042487""]"
I114017466,Diffusion MRI & Tractography,2,"[""10.1109/infvis.2002.1173152"", ""10.1109/tvcg.2019.2934535""]"
I114017466,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/vast.2016.7883510"", ""10.1109/vast.2017.8585638""]"
I114027177,Dimensionality Reduction & Multivariate Plots,30,"[""10.1109/tvcg.2007.70567"", ""10.1109/tvcg.2008.111"", ""10.1109/tvcg.2010.176"", ""10.1109/tvcg.2014.2346574"", ""10.1109/tvcg.2014.2346682"", ""10.1109/tvcg.2017.2745320"", ""10.1109/tvcg.2018.2864885"", ""10.1109/tvcg.2019.2934209"", ""10.1109/tvcg.2019.2934661"", ""10.1109/tvcg.2020.3030455"", ""10.1109/tvcg.2020.3030465"", ""10.1109/tvcg.2021.3114779"", ""10.1109/tvcg.2022.3209445"", ""10.1109/tvcg.2024.3456369"", ""10.1109/tvcg.2024.3456381"", ""10.1109/tvcg.2024.3456385"", ""10.1109/visual.1996.568114"", ""10.1109/visual.1997.663903"", ""10.1109/visual.1997.663908"", ""10.1109/visual.1998.745305"", ""10.1109/visual.1998.745313"", ""10.1109/visual.2000.885684"", ""10.1109/visual.2001.964499"", ""10.1109/visual.2001.964504"", ""10.1109/visual.2001.964508"", ""10.1109/visual.2002.1183759"", ""10.1109/visual.2003.1250360"", ""10.1109/visual.2003.1250408"", ""10.1109/visual.2004.86"", ""10.1109/visual.2004.96""]"
I114027177,Flow Fields & CFD Visualization,3,"[""10.1109/visual.1993.398882"", ""10.1109/visual.1995.480793"", ""10.1109/visual.2000.885712""]"
I114027177,Meshes & Volume Rendering,6,"[""10.1109/tvcg.2023.3327198"", ""10.1109/visual.1997.663929"", ""10.1109/visual.2001.964526"", ""10.1109/visual.2004.37"", ""10.1109/visual.2004.46"", ""10.1109/visual.2005.1532829""]"
