institution_id,MacroCategory,n_papers,doi_list
I201448701,Flow Fields & CFD Visualization,7,"[""10.1109/tvcg.2014.2346452"", ""10.1109/tvcg.2015.2467191"", ""10.1109/tvcg.2015.2467851"", ""10.1109/tvcg.2017.2744198"", ""10.1109/tvcg.2018.2865240"", ""10.1109/tvcg.2020.3028985"", ""10.1109/vast.2016.7883519""]"
I201448701,Meshes & Volume Rendering,1,"[""10.1109/visual.2005.1532844""]"
I201448701,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2017.2744878"", ""10.1109/tvcg.2019.2934281""]"
I201448701,Time Series & Temporal Patterns,4,"[""10.1109/tvcg.2011.251"", ""10.1109/tvcg.2022.3209490"", ""10.1109/tvcg.2024.3456407"", ""10.1109/visual.1991.175794""]"
I201448701,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/visual.1994.346292""]"
I201448701,VIS Literature & Bibliometrics,2,"[""10.1109/tvcg.2020.3030360"", ""10.1109/visual.1998.745351""]"
I201537933,Diffusion MRI & Tractography,1,"[""10.1109/visual.2005.1532834""]"
I201726411,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2023.3326914""]"
I202276237,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2010.138""]"
I20231570,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2011.261"", ""10.1109/tvcg.2019.2934535""]"
I20231570,Dimensionality Reduction & Multivariate Plots,19,"[""10.1109/tvcg.2008.135"", ""10.1109/tvcg.2012.236"", ""10.1109/tvcg.2013.144"", ""10.1109/tvcg.2013.228"", ""10.1109/tvcg.2014.2346291"", ""10.1109/tvcg.2014.2346746"", ""10.1109/tvcg.2015.2467619"", ""10.1109/tvcg.2018.2864911"", ""10.1109/tvcg.2018.2864912"", ""10.1109/tvcg.2019.2934263"", ""10.1109/tvcg.2019.2934434"", ""10.1109/tvcg.2019.2934805"", ""10.1109/tvcg.2020.3030377"", ""10.1109/tvcg.2020.3030411"", ""10.1109/tvcg.2020.3030473"", ""10.1109/tvcg.2024.3456346"", ""10.1109/tvcg.2024.3456379"", ""10.1109/vast.2016.7883510"", ""10.1109/vast.2017.8585638""]"
I20231570,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2020.3030448"", ""10.1109/tvcg.2021.3114761""]"
I20231570,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2017.2744059""]"
I20231570,Time Series & Temporal Patterns,6,"[""10.1109/tvcg.2009.156"", ""10.1109/tvcg.2009.179"", ""10.1109/tvcg.2013.150"", ""10.1109/tvcg.2019.2934541"", ""10.1109/tvcg.2020.3030368"", ""10.1109/tvcg.2022.3209482""]"
I20231570,Twitter & Social Media,1,"[""10.1109/tvcg.2023.3326908""]"
I20231570,VIS Literature & Bibliometrics,2,"[""10.1109/tvcg.2010.192"", ""10.1109/tvcg.2023.3326944""]"
I202524275,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2016.2598460""]"
I202524275,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2019.2934556""]"
I202697423,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2011.198""]"
I202697423,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2011.214"", ""10.1109/tvcg.2014.2346459"", ""10.1109/visual.1995.480799"", ""10.1109/visual.2005.1532786"", ""10.1109/visual.2005.1532801""]"
I202697423,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2019.2934784"", ""10.1109/tvcg.2020.3028894""]"
I202697423,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2017.2745181"", ""10.1109/tvcg.2024.3456329""]"
I202697423,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2021.3114797""]"
I202963720,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2009.188""]"
I203172682,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2014.2346755""]"
I203951103,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/infvis.1999.801861""]"
I203951103,Twitter & Social Media,2,"[""10.1109/tvcg.2009.119"", ""10.1109/tvcg.2015.2467433""]"
I204250578,Diffusion MRI & Tractography,2,"[""10.1109/infvis.2004.70"", ""10.1109/tvcg.2007.70532""]"
I204250578,Dimensionality Reduction & Multivariate Plots,10,"[""10.1109/infvis.2003.1249005"", ""10.1109/tvcg.2006.121"", ""10.1109/tvcg.2007.70586"", ""10.1109/tvcg.2009.124"", ""10.1109/tvcg.2009.166"", ""10.1109/tvcg.2010.128"", ""10.1109/tvcg.2010.189"", ""10.1109/tvcg.2011.214"", ""10.1109/visual.2002.1183796"", ""10.1109/visual.2002.1183800""]"
I204250578,Meshes & Volume Rendering,1,"[""10.1109/vast.2011.6102459""]"
I204250578,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2012.278""]"
I204337017,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2018.2865144"", ""10.1109/tvcg.2023.3326594""]"
I204337017,Flow Fields & CFD Visualization,5,"[""10.1109/infvis.2000.885105"", ""10.1109/tvcg.2016.2598619"", ""10.1109/tvcg.2021.3114835"", ""10.1109/tvcg.2023.3326521"", ""10.1109/tvcg.2024.3456347""]"
I204337017,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2023.3326937""]"
I204337017,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2024.3456340""]"
I204337017,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2024.3456300""]"
I204465549,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2014.2346412""]"
I204465549,Meshes & Volume Rendering,1,"[""10.1109/visual.1990.146413""]"
I204465549,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2012.258""]"
I204512498,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2015.2467194"", ""10.1109/tvcg.2016.2598432""]"
I204553293,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2016.2598416""]"
I204722609,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2006.139"", ""10.1109/visual.2003.1250394""]"
I204730241,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2006.160"", ""10.1109/tvcg.2012.220"", ""10.1109/tvcg.2014.2346426""]"
I204730241,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2017.2745280"", ""10.1109/tvcg.2018.2865077""]"
I204778367,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1991.175802""]"
I204824540,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2006.261422""]"
I204983213,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2014.2346920""]"
I205237279,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2014.2346433"", ""10.1109/tvcg.2022.3209483""]"
I205237279,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2022.3209391"", ""10.1109/tvcg.2024.3456304""]"
I205237279,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2022.3209347""]"
I205640436,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2003.1250367""]"
I205703379,Twitter & Social Media,2,"[""10.1109/tvcg.2014.2346432"", ""10.1109/tvcg.2014.2346434""]"
I205783295,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2016.2598620"", ""10.1109/tvcg.2021.3114845"", ""10.1109/tvcg.2022.3209479"", ""10.1109/tvcg.2023.3327153"", ""10.1109/visual.1994.346306"", ""10.1109/visual.1994.346331""]"
I205783295,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2014.2346753"", ""10.1109/tvcg.2023.3326911""]"
I205783295,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2011.176""]"
I205783295,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2023.3327197""]"
I206895457,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2006.148"", ""10.1109/tvcg.2008.147""]"
I206945453,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2020.3030425""]"
I206945453,Flow Fields & CFD Visualization,1,"[""10.1109/visual.1994.346316""]"
I206945453,Meshes & Volume Rendering,1,"[""10.1109/visual.1998.745304""]"
I207624831,Surgical Planning & Tomography,1,"[""10.1109/visual.1994.346320""]"
I212119943,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/infvis.1997.636784"", ""10.1109/tvcg.2010.164"", ""10.1109/tvcg.2013.197"", ""10.1109/tvcg.2014.2346573"", ""10.1109/tvcg.2020.3030446"", ""10.1109/vast.2010.5652879""]"
I212119943,Flow Fields & CFD Visualization,7,"[""10.1109/tvcg.2009.127"", ""10.1109/tvcg.2013.156"", ""10.1109/tvcg.2016.2598466"", ""10.1109/tvcg.2018.2865159"", ""10.1109/tvcg.2019.2934534"", ""10.1109/tvcg.2022.3209365"", ""10.1109/tvcg.2024.3456403""]"
I212119943,Time Series & Temporal Patterns,3,"[""10.1109/tvcg.2013.153"", ""10.1109/tvcg.2019.2934283"", ""10.1109/vast.2010.5652392""]"
I212119943,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2010.149""]"
I21449261,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2018.2864491""]"
I21449261,Flow Fields & CFD Visualization,9,"[""10.1109/tvcg.2015.2467434"", ""10.1109/tvcg.2017.2744258"", ""10.1109/tvcg.2018.2864851"", ""10.1109/tvcg.2019.2934258"", ""10.1109/tvcg.2019.2934333"", ""10.1109/tvcg.2020.3030438"", ""10.1109/tvcg.2022.3209411"", ""10.1109/tvcg.2024.3456327"", ""10.1109/tvcg.2024.3456401""]"
I21449261,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2024.3456306""]"
I216852786,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2010.159""]"
I216852786,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2011.160""]"
I219193219,Diffusion MRI & Tractography,4,"[""10.1109/tvcg.2009.185"", ""10.1109/tvcg.2009.203"", ""10.1109/visual.2002.1183777"", ""10.1109/visual.2005.1532854""]"
I219193219,Dimensionality Reduction & Multivariate Plots,29,"[""10.1109/tvcg.2006.117"", ""10.1109/tvcg.2008.148"", ""10.1109/tvcg.2009.191"", ""10.1109/tvcg.2010.127"", ""10.1109/tvcg.2012.264"", ""10.1109/tvcg.2013.223"", ""10.1109/tvcg.2014.2346575"", ""10.1109/tvcg.2014.2346926"", ""10.1109/tvcg.2016.2598869"", ""10.1109/tvcg.2019.2934264"", ""10.1109/tvcg.2019.2934266"", ""10.1109/tvcg.2019.2934603"", ""10.1109/tvcg.2019.2934614"", ""10.1109/vast.2007.4388993"", ""10.1109/vast.2008.4677354"", ""10.1109/vast.2008.4677363"", ""10.1109/vast.2009.5333920"", ""10.1109/vast.2011.6102435"", ""10.1109/vast.2011.6102457"", ""10.1109/vast.2012.6400491"", ""10.1109/vast.2012.6400557"", ""10.1109/vast.2016.7883514"", ""10.1109/vast.2018.8802449"", ""10.1109/vast50239.2020.00012"", ""10.1109/visual.1994.346335"", ""10.1109/visual.1997.663875"", ""10.1109/visual.2003.1250383"", ""10.1109/visual.2004.85"", ""10.1109/visual.2005.1532789""]"
I219193219,Flow Fields & CFD Visualization,4,"[""10.1109/tvcg.2007.70592"", ""10.1109/tvcg.2010.162"", ""10.1109/vast.2011.6102460"", ""10.1109/visual.2005.1532811""]"
I219193219,Meshes & Volume Rendering,7,"[""10.1109/tvcg.2008.133"", ""10.1109/tvcg.2010.133"", ""10.1109/tvcg.2012.269"", ""10.1109/tvcg.2013.128"", ""10.1109/tvcg.2014.2346911"", ""10.1109/visual.1998.745349"", ""10.1109/visual.2005.1532858""]"
I219193219,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2018.2864499""]"
I219193219,Time Series & Temporal Patterns,3,"[""10.1109/tvcg.2008.181"", ""10.1109/tvcg.2015.2467195"", ""10.1109/tvcg.2016.2598920""]"
I219193219,Twitter & Social Media,2,"[""10.1109/tvcg.2011.254"", ""10.1109/tvcg.2014.2346747""]"
I219193219,Ultrasound Volume Rendering & Segmentation,4,"[""10.1109/tvcg.2015.2467555"", ""10.1109/vast.2006.261434"", ""10.1109/vast.2007.4388994"", ""10.1109/vast.2014.7042484""]"
I219193219,VIS Literature & Bibliometrics,5,"[""10.1109/tvcg.2006.150"", ""10.1109/tvcg.2012.215"", ""10.1109/tvcg.2015.2468292"", ""10.1109/tvcg.2019.2934288"", ""10.1109/visual.2003.1250422""]"
I22248866,VIS Literature & Bibliometrics,1,"[""10.1109/vast.2014.7042488""]"
I22299242,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2020.3028956""]"
I223464139,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2020.3030352""]"
I223532165,Dashboards & Infographics,3,"[""10.1109/tvcg.2014.2346331"", ""10.1109/tvcg.2020.3030381"", ""10.1109/visual.2001.964525""]"
I223532165,Diffusion MRI & Tractography,14,"[""10.1109/tvcg.2007.70571"", ""10.1109/tvcg.2010.185"", ""10.1109/tvcg.2014.2346351"", ""10.1109/tvcg.2016.2599040"", ""10.1109/tvcg.2020.3030394"", ""10.1109/visual.1990.146395"", ""10.1109/visual.1999.809886"", ""10.1109/visual.1999.809894"", ""10.1109/visual.2001.964519"", ""10.1109/visual.2002.1183764"", ""10.1109/visual.2002.1183777"", ""10.1109/visual.2003.1250412"", ""10.1109/visual.2003.1250414"", ""10.1109/visual.2005.1532807""]"
I223532165,Dimensionality Reduction & Multivariate Plots,68,"[""10.1109/tvcg.2006.149"", ""10.1109/tvcg.2006.171"", ""10.1109/tvcg.2007.70566"", ""10.1109/tvcg.2007.70584"", ""10.1109/tvcg.2007.70604"", ""10.1109/tvcg.2008.120"", ""10.1109/tvcg.2008.154"", ""10.1109/tvcg.2008.160"", ""10.1109/tvcg.2008.174"", ""10.1109/tvcg.2008.187"", ""10.1109/tvcg.2009.194"", ""10.1109/tvcg.2009.195"", ""10.1109/tvcg.2009.204"", ""10.1109/tvcg.2010.127"", ""10.1109/tvcg.2011.170"", ""10.1109/tvcg.2011.199"", ""10.1109/tvcg.2011.206"", ""10.1109/tvcg.2012.218"", ""10.1109/tvcg.2012.286"", ""10.1109/tvcg.2013.143"", ""10.1109/tvcg.2013.174"", ""10.1109/tvcg.2014.2346455"", ""10.1109/tvcg.2015.2467754"", ""10.1109/tvcg.2015.2467811"", ""10.1109/tvcg.2016.2598609"", ""10.1109/tvcg.2016.2599106"", ""10.1109/tvcg.2017.2744058"", ""10.1109/tvcg.2017.2745141"", ""10.1109/tvcg.2018.2864505"", ""10.1109/tvcg.2018.2864850"", ""10.1109/tvcg.2018.2864853"", ""10.1109/tvcg.2018.2864913"", ""10.1109/tvcg.2018.2865149"", ""10.1109/tvcg.2018.2865193"", ""10.1109/tvcg.2018.2865230"", ""10.1109/tvcg.2019.2934620"", ""10.1109/tvcg.2019.2934802"", ""10.1109/tvcg.2020.3030473"", ""10.1109/tvcg.2021.3114766"", ""10.1109/tvcg.2021.3114803"", ""10.1109/tvcg.2021.3114869"", ""10.1109/tvcg.2022.3209375"", ""10.1109/tvcg.2022.3209418"", ""10.1109/tvcg.2022.3209424"", ""10.1109/tvcg.2022.3209451"", ""10.1109/tvcg.2023.3326905"", ""10.1109/tvcg.2024.3456193"", ""10.1109/tvcg.2024.3456393"", ""10.1109/vast47406.2019.8986909"", ""10.1109/visual.1992.235178"", ""10.1109/visual.1995.480806"", ""10.1109/visual.1996.568121"", ""10.1109/visual.1998.745300"", ""10.1109/visual.1998.745713"", ""10.1109/visual.1999.809878"", ""10.1109/visual.1999.809879"", ""10.1109/visual.2000.885706"", ""10.1109/visual.2002.1183758"", ""10.1109/visual.2002.1183766"", ""10.1109/visual.2002.1183773"", ""10.1109/visual.2002.1183788"", ""10.1109/visual.2003.1250352"", ""10.1109/visual.2003.1250357"", ""10.1109/visual.2003.1250383"", ""10.1109/visual.2004.52"", ""10.1109/visual.2005.1532788"", ""10.1109/visual.2005.1532796"", ""10.1109/visual.2005.1532815""]"
I223532165,Flow Fields & CFD Visualization,6,"[""10.1109/tvcg.2012.213"", ""10.1109/tvcg.2019.2934286"", ""10.1109/tvcg.2021.3114798"", ""10.1109/tvcg.2024.3456186"", ""10.1109/tvcg.2024.3456351"", ""10.1109/visual.1999.809915""]"
I223532165,Meshes & Volume Rendering,24,"[""10.1109/scivis.2015.7429492"", ""10.1109/tvcg.2007.70551"", ""10.1109/tvcg.2007.70557"", ""10.1109/tvcg.2009.118"", ""10.1109/tvcg.2009.178"", ""10.1109/tvcg.2010.133"", ""10.1109/tvcg.2010.170"", ""10.1109/tvcg.2011.162"", ""10.1109/tvcg.2017.2744079"", ""10.1109/tvcg.2019.2934259"", ""10.1109/tvcg.2020.3030333"", ""10.1109/tvcg.2020.3030363"", ""10.1109/tvcg.2020.3030405"", ""10.1109/tvcg.2023.3327366"", ""10.1109/visual.1992.235227"", ""10.1109/visual.1993.398876"", ""10.1109/visual.1994.346321"", ""10.1109/visual.1996.568135"", ""10.1109/visual.2000.885688"", ""10.1109/visual.2000.885692"", ""10.1109/visual.2003.1250381"", ""10.1109/visual.2004.107"", ""10.1109/visual.2004.113"", ""10.1109/visual.2004.25""]"
I223532165,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2024.3456359""]"
I223532165,Time Series & Temporal Patterns,6,"[""10.1109/tvcg.2010.207"", ""10.1109/tvcg.2018.2865241"", ""10.1109/tvcg.2019.2934539"", ""10.1109/tvcg.2020.3030368"", ""10.1109/tvcg.2023.3327201"", ""10.1109/visual.2000.885708""]"
I223532165,Twitter & Social Media,19,"[""10.1109/tvcg.2007.70572"", ""10.1109/tvcg.2008.110"", ""10.1109/tvcg.2010.213"", ""10.1109/tvcg.2011.177"", ""10.1109/tvcg.2011.254"", ""10.1109/tvcg.2012.209"", ""10.1109/tvcg.2012.228"", ""10.1109/tvcg.2014.2346434"", ""10.1109/tvcg.2018.2864848"", ""10.1109/tvcg.2019.2934242"", ""10.1109/tvcg.2019.2934257"", ""10.1109/tvcg.2019.2934338"", ""10.1109/tvcg.2019.2934594"", ""10.1109/tvcg.2021.3114819"", ""10.1109/tvcg.2023.3326592"", ""10.1109/tvcg.2023.3326920"", ""10.1109/tvcg.2024.3456322"", ""10.1109/tvcg.2024.3456337"", ""10.1109/tvcg.2024.3456383""]"
I223532165,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/infvis.2005.1532134""]"
I223532165,VIS Literature & Bibliometrics,4,"[""10.1109/tvcg.2016.2599041"", ""10.1109/visual.1996.568144"", ""10.1109/visual.2003.1250421"", ""10.1109/visual.2004.95""]"
I223822909,Dashboards & Infographics,1,"[""10.1109/tvcg.2020.3030437""]"
I223822909,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2010.132"", ""10.1109/tvcg.2010.150"", ""10.1109/tvcg.2014.2346274"", ""10.1109/tvcg.2017.2743989"", ""10.1109/tvcg.2019.2934337"", ""10.1109/tvcg.2020.3030466""]"
I223822909,Meshes & Volume Rendering,4,"[""10.1109/tvcg.2015.2467291"", ""10.1109/tvcg.2016.2599018"", ""10.1109/tvcg.2018.2864508"", ""10.1109/tvcg.2023.3326519""]"
I223822909,Twitter & Social Media,1,"[""10.1109/tvcg.2012.248""]"
I223822909,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1999.809920""]"
I22465464,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2011.161""]"
I22465464,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2008.136"", ""10.1109/tvcg.2009.169"", ""10.1109/tvcg.2010.208"", ""10.1109/visual.2000.885699""]"
I22465464,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2012.193""]"
I2250650973,Dashboards & Infographics,1,"[""10.1109/visual.1991.175776""]"
I2250650973,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2020.3030414""]"
I2250650973,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2016.2598920""]"
I2250653659,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2023.3326941"", ""10.1109/vast.2018.8802454""]"
I2250653659,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2022.3209463"", ""10.1109/tvcg.2023.3326943""]"
I2250955327,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2023.3326930""]"
I2250955327,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2023.3327200""]"
I2250955327,Twitter & Social Media,1,"[""10.1109/tvcg.2023.3326908""]"
I2252078561,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2017.2744718""]"
I2252078561,Time Series & Temporal Patterns,1,"[""10.1109/vast50239.2020.00015""]"
I231293419,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2016.2598415""]"
I23732399,Twitter & Social Media,2,"[""10.1109/tvcg.2021.3114872"", ""10.1109/tvcg.2024.3456395""]"
I241749,Diffusion MRI & Tractography,1,"[""10.1109/infvis.1999.801855""]"
I24185976,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2015.2467691"", ""10.1109/tvcg.2020.3030346""]"
I243754102,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast50239.2020.00012""]"
I24603500,Dimensionality Reduction & Multivariate Plots,13,"[""10.1109/tvcg.2020.3029413"", ""10.1109/tvcg.2020.3030369"", ""10.1109/tvcg.2020.3030422"", ""10.1109/tvcg.2021.3114823"", ""10.1109/tvcg.2022.3209377"", ""10.1109/tvcg.2022.3209405"", ""10.1109/tvcg.2022.3209456"", ""10.1109/tvcg.2022.3209467"", ""10.1109/tvcg.2023.3326579"", ""10.1109/tvcg.2023.3327192"", ""10.1109/tvcg.2024.3456378"", ""10.1109/visual.1992.235209"", ""10.1109/visual.1995.480816""]"
I24603500,Twitter & Social Media,2,"[""10.1109/infvis.2000.885099"", ""10.1109/tvcg.2021.3114784""]"
I24943067,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2013.228"", ""10.1109/tvcg.2020.3030411"", ""10.1109/tvcg.2022.3209461"", ""10.1109/tvcg.2022.3209483"", ""10.1109/tvcg.2023.3327353"", ""10.1109/tvcg.2023.3327385""]"
I24943067,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2024.3456145"", ""10.1109/tvcg.2024.3456341""]"
I24943067,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2021.3114777"", ""10.1109/tvcg.2023.3326929""]"
I24943067,Twitter & Social Media,1,"[""10.1109/tvcg.2023.3326908""]"
I25112270,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2016.2598694"", ""10.1109/tvcg.2022.3209474"", ""10.1109/tvcg.2023.3326598"", ""10.1109/tvcg.2024.3456353""]"
I251424209,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2006.152"", ""10.1109/tvcg.2011.173""]"
I251738,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2007.70556""]"
I251738,Meshes & Volume Rendering,1,"[""10.1109/infvis.2003.1249023""]"
I2540865,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1990.146392""]"
I25485817,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2017.2745298"", ""10.1109/vast.2017.8585498""]"
I25485817,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2017.2744818""]"
I258800397,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2016.7883510""]"
I25974101,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2011.191""]"
I25974101,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2013.187""]"
I25974101,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2012.193""]"
I26120043,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2024.3456389"", ""10.1109/visual.1999.809932""]"
I26120043,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1995.480807""]"
I26120043,Meshes & Volume Rendering,1,"[""10.1109/visual.2002.1183811""]"
I26120043,VIS Literature & Bibliometrics,2,"[""10.1109/infvis.2000.885093"", ""10.1109/visual.1997.663889""]"
I2613432,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2019.2934802"", ""10.1109/tvcg.2020.3030421""]"
I2613432,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2024.3456359""]"
I2613432,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2020.3030365""]"
I2613432,Twitter & Social Media,2,"[""10.1109/tvcg.2021.3114784"", ""10.1109/tvcg.2023.3326592""]"
I2614128279,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2011.168""]"
I26274970,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2017.2744080""]"
I26274970,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2017.2744458"", ""10.1109/tvcg.2017.2745279"", ""10.1109/vast50239.2020.00010""]"
I26274970,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2018.2864887""]"
I265217849,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1990.146392""]"
I26538001,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1991.175791""]"
I2699952,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2017.2745105""]"
I2738703131,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2009.149""]"
I2738703131,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2006.189""]"
I277688954,Dimensionality Reduction & Multivariate Plots,7,"[""10.1109/tvcg.2019.2934807"", ""10.1109/tvcg.2020.3030347"", ""10.1109/tvcg.2020.3030476"", ""10.1109/tvcg.2021.3114787"", ""10.1109/tvcg.2022.3209480"", ""10.1109/tvcg.2023.3326941"", ""10.1109/tvcg.2024.3456336""]"
I277688954,Flow Fields & CFD Visualization,4,"[""10.1109/tvcg.2013.134"", ""10.1109/tvcg.2020.3028894"", ""10.1109/tvcg.2021.3114805"", ""10.1109/tvcg.2022.3209390""]"
I277688954,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2016.2599217""]"
I277688954,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2023.3326520""]"
I277688954,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2021.3114880""]"
I277688954,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2019.2934397""]"
I27804330,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2009.112""]"
I27804330,Dimensionality Reduction & Multivariate Plots,10,"[""10.1109/infvis.1997.636785"", ""10.1109/tvcg.2006.180"", ""10.1109/tvcg.2016.2598918"", ""10.1109/tvcg.2018.2865147"", ""10.1109/tvcg.2020.3030429"", ""10.1109/vast.2011.6102445"", ""10.1109/visual.1992.235194"", ""10.1109/visual.1993.398865"", ""10.1109/visual.1994.346306"", ""10.1109/visual.2000.885731""]"
I27804330,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2014.2346983"", ""10.1109/visual.2001.964560""]"
I27804330,Meshes & Volume Rendering,3,"[""10.1109/tvcg.2010.163"", ""10.1109/visual.1994.346309"", ""10.1109/visual.2001.964505""]"
I27804330,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2012.214""]"
I27837315,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2012.272""]"
