institution_a,institution_b,weight
I2948394018,I59553526,2
I4210165038,I99065089,2
I102197404,I12356871,2
I102197404,I4210166784,2
I1327163397,I2948394018,2
I12356871,I1326498283,2
I12356871,I4210166784,2
I1326498283,I4210166784,2
I-1,I100532134,2
I100532134,I1294671590,2
I130238516,I2800403580,2
I201448701,I4210163771,2
I200769079,I204512498,2
I204512498,I889458895,2
I4210159102,I889458895,2
I1291425158,I141945490,2
I141945490,I219193219,2
I196349391,I2799803557,2
I4210165038,I79510175,2
I4432739,I71920554,2
I76130692,I87216513,2
I1326498283,I180825142,2
I1291425158,I130701444,2
I185261750,I39470171,2
I129774422,I138211613,2
I12356871,I223532165,2
I1294671590,I223532165,2
I100066346,I1343190059,2
I4210160527,I84218800,2
I4210141176,I901403493,2
I183935753,I39555362,2
I141945490,I8204097,2
I102197404,I180825142,2
I200769079,I63966007,2
I1326498283,I204730241,2
I111979921,I95457486,2
I1295339012,I59553526,2
I111979921,I201448701,2
I24603500,I4210163771,2
I1306409833,I4210163771,2
I1343871089,I142606810,2
I1282105669,I1282311441,2
I1282105669,I130828816,2
I1295339012,I1327163397,2
I111979921,I24603500,2
I116953780,I4210113369,2
I100066346,I170658231,2
I46020346,I63966007,2
I1290206253,I200769079,2
I177802217,I4210109712,2
I17974374,I181391015,2
I153267046,I926574661,2
I4210137306,I97018004,2
I145847075,I4210137306,2
I138211613,I97018004,2
I134560555,I169381384,2
I169381384,I3131550300,2
I169381384,I4210119061,2
I169381384,I4210152422,2
I169381384,I4210160189,2
I138211613,I4210137306,2
I149899117,I177802217,2
I183935753,I7882870,2
I1290206253,I4210153468,2
I168635309,I4210099137,2
I168635309,I4210153468,2
I168635309,I4210164937,2
I40120149,I98677209,2
I84218800,I95457486,2
I4210133934,I8087733,2
I39555362,I98677209,2
I122991210,I2800759272,2
I1282311441,I170897317,2
I100066346,I103163165,2
I114027177,I8087733,2
I1290206253,I4210113369,2
I1283382300,I181369854,2
I124055696,I1326498283,2
I1280536761,I4210151352,2
I183067930,I4210113369,2
I1280536761,I4210135837,2
I145847075,I4210122765,2
I1341412227,I205783295,2
I4210122765,I76134821,2
I168719708,I172675005,2
I136199984,I63966007,2
I180825142,I4432739,2
I180825142,I83019370,2
I111483173,I20231570,2
I103531236,I136199984,2
I121883995,I136199984,2
I3045169105,I55732556,2
I100066346,I4092182,2
I4210099236,I4432739,2
I1324682000,I219193219,2
I1343190059,I4210136249,2
I1283103587,I138006243,2
I74973139,I889458895,2
I138006243,I40347166,2
I200769079,I74973139,2
I154099455,I38877650,2
I12356871,I39804081,2
I111979921,I135310074,2
I-1,I4210120115,2
I1290206253,I889458895,2
I121883995,I1283582996,2
I12912129,I136199984,2
I129774422,I1326498283,2
I129774422,I79272384,2
I1326498283,I79272384,2
I114027177,I141945490,2
I-1,I191240316,2
I111979921,I2800444561,2
I111979921,I130701444,2
I63966007,I889458895,2
I1326498283,I1341412227,2
I1326498283,I15057530,2
I189712700,I193662353,2
I4210153902,I95793202,2
I121883995,I4092182,2
I121883995,I4400600974,2
I1283582996,I2801851002,2
I1283582996,I4092182,2
I1283582996,I4400600974,2
I151746483,I84218800,2
I2801851002,I4400600974,2
I4092182,I4400600974,2
I181369854,I4210153902,2
I36258959,I76130692,2
I169521973,I192454743,2
I1324682000,I4394709130,2
I4210103820,I4210141030,2
I173498003,I880747138,2
I145872427,I2801238018,2
I168635309,I4210165912,2
I180825142,I4210165912,2
I180726961,I67031392,2
I180726961,I189712700,2
I130701444,I164956901,2
I55732556,I99065089,2
I136199984,I59553526,2
I223532165,I46020346,2
I151746483,I155173764,2
I111979921,I40347166,2
I157725225,I161127581,2
I24943067,I889458895,2
I100066346,I177725633,2
I200769079,I24943067,2
I39470171,I84392919,2
I277688954,I84392919,2
I277688954,I39470171,2
I18014758,I277688954,2
I168635309,I277688954,2
I200769079,I2250653659,2
I139660479,I179026463,2
I179026463,I76130692,2
