author_id,openalex_author_id_url,display_name,orcid,source
A5102833835,https://openalex.org/A5102833835,Kenneth Moreland,https://orcid.org/0000-0002-7051-3288,openalex
A5063502813,https://openalex.org/A5063502813,Qian Gong,https://orcid.org/0000-0002-3570-4142,openalex
A5030373337,https://openalex.org/A5030373337,Scott Klasky,https://orcid.org/0000-0003-3559-5772,openalex
A5048780291,https://openalex.org/A5048780291,Chris R. Johnson,https://orcid.org/0000-0001-5673-5338,openalex
A5036159118,https://openalex.org/A5036159118,Paul Rosen,https://orcid.org/0000-0002-0873-9518,openalex
A5079282430,https://openalex.org/A5079282430,Yutian Zhang,https://orcid.org/0009-0002-6711-4478,openalex
A5102503989,https://openalex.org/A5102503989,Xu Liwen,https://orcid.org/0000-0002-1264-2217,openalex
A5114223963,https://openalex.org/A5114223963,S.l. Tao,,openalex
A5026966155,https://openalex.org/A5026966155,Quanxue Guan,https://orcid.org/0000-0002-1379-620X,openalex
A5100447162,https://openalex.org/A5100447162,Quan Li,https://orcid.org/0000-0003-2249-0728,openalex
A5026127661,https://openalex.org/A5026127661,Haipeng Zeng,https://orcid.org/0000-0002-0339-0361,openalex
A5049140163,https://openalex.org/A5049140163,Brian Montambault,,openalex
A5078304037,https://openalex.org/A5078304037,Gabriel Appleby,https://orcid.org/0000-0003-2436-2121,openalex
A5014603089,https://openalex.org/A5014603089,Jen Rogers,,openalex
A5056317020,https://openalex.org/A5056317020,Camelia D. Brumar,,openalex
A5100425352,https://openalex.org/A5100425352,Mingwei Li,https://orcid.org/0000-0002-0457-8091,openalex
A5089451178,https://openalex.org/A5089451178,Remco Chang,https://orcid.org/0000-0002-6484-6430,openalex
A5102013272,https://openalex.org/A5102013272,Guozheng Li,https://orcid.org/0000-0001-6663-6712,openalex
A5114224170,https://openalex.org/A5114224170,Haotian Mi,,openalex
A5102923184,https://openalex.org/A5102923184,Chi Harold Liu,https://orcid.org/0000-0002-0252-329X,openalex
A5071094223,https://openalex.org/A5071094223,Takayuki Itoh,https://orcid.org/0000-0002-1997-4644,openalex
A5054991337,https://openalex.org/A5054991337,Guoren Wang,https://orcid.org/0000-0002-0181-8379,openalex
A5109661297,https://openalex.org/A5109661297,Sonia Castelo,,openalex
A5031297466,https://openalex.org/A5031297466,João Rulff,https://orcid.org/0000-0003-3341-7059,openalex
A5082090092,https://openalex.org/A5082090092,Parikshit Solunke,https://orcid.org/0009-0003-5546-0135,openalex
A5076364495,https://openalex.org/A5076364495,Erin Mcgowan,https://orcid.org/0000-0002-7565-3052,openalex
A5045718502,https://openalex.org/A5045718502,Guande Wu,https://orcid.org/0000-0002-9244-173X,openalex
A5027526258,https://openalex.org/A5027526258,Iran R. Roman,https://orcid.org/0000-0003-3781-7244,openalex
A5036120336,https://openalex.org/A5036120336,Roque López,https://orcid.org/0000-0003-3484-1783,openalex
A5012732932,https://openalex.org/A5012732932,Bea Steers,,openalex
A5025243341,https://openalex.org/A5025243341,Qi Sun,https://orcid.org/0000-0002-3094-5844,openalex
