institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I154570441,"University of California, Santa Barbara",https://ror.org/02t274463,education,US,United States,Americas,Santa Barbara,,34.42082977294922,-119.69818878173828,https://www.ucsb.edu,130307,16809065,9,8,North America
I154986956,European Centre for Medium-Range Weather Forecasts,https://ror.org/014w0fd65,other,GB,United Kingdom,Europe,Reading,,51.45624923706055,-0.9711300134658812,http://www.ecmwf.int/,7465,2877475,2,1,Europe
I155093810,University of Idaho,https://ror.org/03hbp5t65,education,US,United States,Americas,Moscow,,46.732391357421875,-117.00016784667967,https://uidaho.edu,43962,2019355,2,3,North America
I155173764,Rochester Institute of Technology,https://ror.org/00v4yb702,education,US,United States,Americas,Rochester,,43.154781341552734,-77.61556243896484,http://www.rit.edu/,27962,1629144,4,5,North America
I155781252,University of South Carolina,https://ror.org/02b6qw903,education,US,United States,Americas,Columbia,,34.000709533691406,-81.0348129272461,http://www.sc.edu/,95399,6788287,2,2,North America
I156087764,"University of California, Merced",https://ror.org/00d9ah105,education,US,United States,Americas,Merced,,37.30215835571289,-120.48297119140624,https://www.ucmerced.edu,18303,932582,4,6,North America
I157485424,Korea Advanced Institute of Science and Technology,https://ror.org/05apxxy63,education,KR,"Korea, Republic of",Asia,Daejeon,,36.34912872314453,127.38493347167967,https://www.kaist.ac.kr,106269,8388688,5,7,Asia
I157556583,Institute of Science and Technology Austria,https://ror.org/03gnh5541,education,AT,Austria,Europe,Klosterneuburg,,48.30521011352539,16.325220108032227,https://ista.ac.at/,6881,349508,2,4,Europe
I15766117,University of Graz,https://ror.org/01faaaf77,education,AT,Austria,Europe,Graz,,47.06666946411133,15.449999809265137,https://www.uni-graz.at/en/,65436,3276471,1,2,Europe
I157725225,University of Illinois Urbana-Champaign,https://ror.org/047426m28,education,US,United States,Americas,Urbana,,40.110591888427734,-88.20726776123047,https://illinois.edu,321028,31118574,28,41,North America
I157773358,Sun Yat-sen University,https://ror.org/0064kty71,education,CN,China,Asia,Guangzhou,,23.116670608520508,113.25,https://www.sysu.edu.cn,269599,23153277,4,14,Asia
I158842170,Chongqing University,https://ror.org/023rhb549,education,CN,China,Asia,Chongqing,,29.56026077270508,106.55770874023438,https://www.cqu.edu.cn,120219,7159123,2,3,Asia
I159176309,Universität Hamburg,https://ror.org/00g30e956,education,DE,Germany,Europe,Hamburg,,53.55073165893555,9.993020057678224,http://www.uni-hamburg.de,201892,18602090,2,4,Europe
I16038530,Aberystwyth University,https://ror.org/015m2p889,education,GB,United Kingdom,Europe,Aberystwyth,,52.41548156738281,-4.082920074462891,https://www.aber.ac.uk,25363,1526523,1,2,Europe
I161046081,University of Freiburg,https://ror.org/0245cg223,education,DE,Germany,Europe,Freiburg im Breisgau,,47.99589920043945,7.852220058441162,https://www.uni-freiburg.de,133673,15965424,1,1,Europe
I161057412,University of New Hampshire,https://ror.org/01rmh9n78,education,US,United States,Americas,Durham,,43.13396835327149,-70.92645263671875,http://www.unh.edu/,34784,2624073,13,11,North America
I161127581,Universidade Federal Fluminense,https://ror.org/02rjhbb08,education,BR,Brazil,Americas,Niterói,,-22.883329391479492,-43.10361099243164,https://www.uff.br,72571,1537416,6,4,South America
I161171246,West Chester University,https://ror.org/0053n5071,education,US,United States,Americas,West Chester,,39.96097183227539,-75.60803985595703,http://www.wcupa.edu/,6770,194960,1,1,North America
I161548249,Bangor University,https://ror.org/006jb1a24,education,GB,United Kingdom,Europe,Bangor,,53.22751998901367,-4.129360198974609,https://www.bangor.ac.uk,34453,2243492,9,14,Europe
I162577319,The University of Texas at Dallas,https://ror.org/049emcs32,education,US,United States,Americas,Richardson,,32.94818115234375,-96.72972106933594,http://www.utdallas.edu/,43744,3241657,1,1,North America
I162646704,Dowling College,https://ror.org/011ezgm44,education,US,United States,Americas,Oakdale,New York,40.74209213256836,-73.1478271484375,http://www.dowling.edu/,708,16489,1,1,North America
I162714631,George Mason University,https://ror.org/02jqj7156,education,US,United States,Americas,Fairfax,,38.84621810913086,-77.3063735961914,https://www.gmu.edu/,75976,3131348,3,3,North America
I16285277,William & Mary,https://ror.org/03hsf0573,education,US,United States,Americas,Williamsburg,,37.27069854736328,-76.70745849609375,https://www.wm.edu/,34356,1910678,1,1,North America
I162868743,Tianjin University,https://ror.org/012tb2g32,education,CN,China,Asia,Tianjin,,39.14221954345703,117.17666625976562,http://www.tju.edu.cn/english/,150543,11049379,11,25,Asia
I16391192,Tel Aviv University,https://ror.org/04mhzgx49,education,IL,Israel,Asia,Tel Aviv,,32.11338806152344,34.802154541015625,http://english.tau.ac.il/,196631,16572577,11,15,Asia
I164389053,Fordham University,https://ror.org/03qnxaf80,education,US,United States,Americas,New York,,40.71427154541016,-74.00596618652344,https://www.fordham.edu,28517,771718,1,1,North America
I164956901,Visa (United Kingdom),https://ror.org/05syhdw25,company,GB,United Kingdom,Europe,London,,51.51909255981445,-0.1807850003242492,https://www.visa.co.uk/,488,4433,6,7,Europe
I165102784,Duquesne University,https://ror.org/02336z538,education,US,United States,Americas,Pittsburgh,,40.44062042236328,-79.99588775634766,https://duq.edu,13455,531657,1,1,North America
I165143802,University of Queensland,https://ror.org/00rqy9422,education,AU,Australia,Oceania,Brisbane,,-27.467939376831055,153.02809143066406,http://www.uq.edu.au/,256377,25113271,1,3,Oceania
I165368041,University of Iceland,https://ror.org/01db6h964,education,IS,Iceland,Europe,Reykjavik,,64.13548278808594,-21.895410537719727,https://www.hi.is,29669,2342597,1,1,Europe
I165390105,University of South Africa,https://ror.org/048cwvf49,education,ZA,South Africa,Africa,Pretoria,,-25.768573760986328,28.201242446899418,http://www.unisa.ac.za/default.html,41920,800783,1,3,Africa
I165525304,Edge Hill University,https://ror.org/028ndzd53,education,GB,United Kingdom,Europe,Ormskirk,,53.56684875488281,-2.881779909133911,https://www.edgehill.ac.uk,9425,196719,1,1,Europe
I165690674,Oregon Health & Science University,https://ror.org/009avj582,education,US,United States,Americas,Portland,,45.5234489440918,-122.67620849609376,https://www.ohsu.edu,112415,12118217,1,4,North America
I165733156,University of Georgia,https://ror.org/00te3t702,education,US,United States,Americas,Athens,,33.9609489440918,-83.37793731689453,https://www.uga.edu,132332,10993058,1,1,North America
I165779595,University of Melbourne,https://ror.org/01ej9dk98,education,AU,Australia,Oceania,Melbourne,,-37.81399917602539,144.96331787109375,http://www.unimelb.edu.au/,323016,28562500,3,5,Oceania
I165799507,Rensselaer Polytechnic Institute,https://ror.org/01rtyzb94,education,US,United States,Americas,Troy,,42.72840881347656,-73.69178771972656,https://www.rpi.edu,60704,3962093,3,5,North America
I165932596,National University of Singapore,https://ror.org/01tgyzw49,education,SG,Singapore,Asia,Singapore,,1.2896699905395508,103.85006713867188,http://www.nus.edu.sg/,255239,22916892,7,16,Asia
I166416128,DEVCOM Army Research Laboratory,https://ror.org/011hc8f90,government,US,United States,Americas,Adelphi,,39.003170013427734,-76.97191619873047,https://arl.devcom.army.mil,24994,1231151,2,8,North America
I166825849,Tampere University,https://ror.org/033003e23,education,FI,Finland,Europe,Tampere,,61.49911117553711,23.787120819091797,https://www.tuni.fi/en,76857,5296015,1,1,Europe
I167576493,Colorado School of Mines,https://ror.org/04raf6v53,education,US,United States,Americas,Golden,,39.75553894042969,-105.22109985351562,https://www.mines.edu/,34106,1872119,2,3,North America
I16835326,University of St Andrews,https://ror.org/02wn5qz54,education,GB,United Kingdom,Europe,St Andrews,,56.33871078491211,-2.7990200519561768,http://www.st-andrews.ac.uk/,72462,4503192,3,3,Europe
I168635309,University of Calgary,https://ror.org/03yjb2x39,education,CA,Canada,Americas,Calgary,,51.05010986328125,-114.08528900146484,https://www.ucalgary.ca,185603,13943151,33,44,North America
I168719708,City University of Hong Kong,https://ror.org/03q8dnn23,education,HK,Hong Kong,Asia,Hong Kong,,22.2783203125,114.17469024658205,https://www.cityu.edu.hk,102499,7188258,3,2,Asia
I168864056,Bilkent University,https://ror.org/02vh8a032,education,TR,Türkiye,Europe,Ankara,,39.91986846923828,32.854270935058594,https://w3.bilkent.edu.tr/bilkent,20512,1361358,1,2,Europe
I169086405,Winthrop University,https://ror.org/04mpzkf73,education,US,United States,Americas,Rock Hill,South Carolina,34.93888854980469,-81.03055572509766,http://www.winthrop.edu/,3136,55353,1,1,North America
I169173203,Délégation Paris 7,https://ror.org/00bw5n526,government,FR,France,Europe,Bagnolet,,48.866668701171875,2.416670083999634,http://www.idf.inserm.fr/rubriques/l-inserm-en-ile-de-france/delegation-paris-7,40741,5727442,1,1,Europe
I169381384,University of Groningen,https://ror.org/012p63287,education,NL,Netherlands,Europe,Groningen,Groningen,53.219444274902344,6.5629658699035645,http://www.rug.nl/,162729,17867414,19,19,Europe
I169521973,University of New Mexico,https://ror.org/05fs6jp91,education,US,United States,Americas,Albuquerque,,35.08449172973633,-106.65113830566406,https://www.unm.edu,94958,8065705,6,11,North America
I170201317,University of Pittsburgh,https://ror.org/01an3r305,education,US,United States,Americas,Pittsburgh,,40.44062042236328,-79.99588775634766,http://www.pitt.edu/,287285,33334351,7,14,North America
I170215575,National University of Defense Technology,https://ror.org/05d2yfz11,education,CN,China,Asia,Changsha,,28.198740005493164,112.97087097167967,http://www.nudt.edu.cn/index_eng.htm,77896,2785182,1,2,Asia
I170239107,University of South Australia,https://ror.org/01p93h210,education,AU,Australia,Oceania,Adelaide,,-34.92866134643555,138.5986328125,https://www.unisa.edu.au/,54153,3326227,2,2,Oceania
I170658231,Osnabrück University,https://ror.org/04qmmjx98,education,DE,Germany,Europe,Osnabrück,,52.27264022827149,8.049799919128418,https://www.uni-osnabrueck.de/en/home.html,24311,1096068,2,2,Europe
I170897317,Duke University,https://ror.org/00py81415,education,US,United States,Americas,Durham,,35.9940299987793,-78.89862060546875,https://duke.edu,248649,27786679,5,6,North America
I17145004,Northwestern Polytechnical University,https://ror.org/01y0j0j86,education,CN,China,Asia,Xi'an,,34.258331298828125,108.9286117553711,https://www.nwpu.edu.cn,119845,6408683,1,1,Asia
I172675005,Nanyang Technological University,https://ror.org/02e7b5302,education,SG,Singapore,Asia,Singapore,,1.2896699905395508,103.85006713867188,http://www.ntu.edu.sg/Pages/home.aspx,176312,16230830,9,9,Asia
I172901346,St Petersburg University,https://ror.org/023znxa73,education,RU,Russian Federation,Europe,Saint Petersburg,,59.94200134277344,30.298999786376953,http://spbu.ru/,76901,2015350,1,1,Europe
I17301866,University of Alabama,https://ror.org/03xrrjk67,education,US,United States,Americas,Tuscaloosa,,33.2098388671875,-87.56916809082031,https://www.ua.edu/,72296,4506541,1,1,North America
I173498003,Palo Alto Research Center,https://ror.org/0529fxt39,facility,US,United States,Americas,Palo Alto,California,37.40271759033203,-122.1479949951172,http://www.parc.com/,10047,1443374,13,19,North America
I173759888,Hunan Normal University,https://ror.org/053w1zy07,education,CN,China,Asia,Changsha,,28.198740005493164,112.97087097167967,https://www.hunnu.edu.cn,39835,1405341,1,1,Asia
I173911158,Iowa State University,https://ror.org/04rswrd78,education,US,United States,Americas,Ames,,42.03470993041992,-93.61994171142578,https://www.iastate.edu,189394,11929725,8,9,North America
I174183983,Maria Curie-Skłodowska University,https://ror.org/015h0qg34,education,PL,Poland,Europe,Lublin,,51.25,22.566669464111328,https://www.umcs.pl,28842,629408,1,1,Europe
I174216632,City University of New York,https://ror.org/00453a208,education,US,United States,Americas,New York,,40.71427154541016,-74.00596618652344,http://www.cuny.edu/index.html,82146,4156533,2,2,North America
I174306211,Technion – Israel Institute of Technology,https://ror.org/03qryx823,education,IL,Israel,Asia,Haifa,,32.81840896606445,34.98849868774414,http://www.technion.ac.il/,108512,7760120,8,9,Asia
I175594653,John Brown University,https://ror.org/02ct41q97,education,US,United States,Americas,Siloam Springs,Arkansas,36.189998626708984,-94.55860900878906,http://www.jbu.edu/,42684,1192312,16,22,North America
I176453806,University of Potsdam,https://ror.org/03bnmw459,education,DE,Germany,Europe,Potsdam,,52.39886093139648,13.06566047668457,https://www.uni-potsdam.de/en/,53966,2667776,4,11,Europe
I17653759,Fund for Scientific Research,https://ror.org/03q83t159,nonprofit,BE,Belgium,Europe,Brussels,,50.83694076538086,4.370707988739014,http://www.fnrs.be/,5346,356315,1,1,Europe
I177328695,Union College,https://ror.org/058w5nk68,education,US,United States,Americas,Schenectady,,42.814239501953125,-73.93956756591797,https://www.union.edu,6508,202228,1,1,North America
I17747738,Beijing University of Chinese Medicine,https://ror.org/05damtm70,education,CN,China,Asia,Beijing,,39.907501220703125,116.39723205566406,https://www.bucm.edu.cn,26468,1216823,1,1,Asia
I177483745,Université Joseph Fourier,https://ror.org/02aj0kh94,education,FR,France,Europe,Grenoble,,45.17869186401367,5.714789867401123,https://www.ujf-grenoble.fr/?language=en,38208,5643882,1,2,Europe
I177605424,Amherst College,https://ror.org/028vqfs63,education,US,United States,Americas,Amherst Center,,42.375370025634766,-72.51924896240234,https://www.amherst.edu/,12038,521987,1,2,North America
I177725633,Chinese University of Hong Kong,https://ror.org/00t33hh48,education,CN,China,Asia,Hong Kong,,22.419721603393555,114.20679473876952,http://www.cuhk.edu.hk/english/index.html,167061,15601379,11,7,Asia
I177802217,University of Mannheim,https://ror.org/031bsb921,education,DE,Germany,Europe,Mannheim,,49.483924865722656,8.462201118469238,https://www.uni-mannheim.de/en/,28455,1211461,1,3,Europe
I177909021,Universidade Federal de São Carlos,https://ror.org/00qdc6m37,education,BR,Brazil,Americas,São Carlos,,-22.017499923706055,-47.890830993652344,https://www.ufscar.br,74625,2233058,2,5,South America
I177969490,University of Southern Denmark,https://ror.org/03yrrjy16,education,DK,Denmark,Europe,Odense,,55.395938873291016,10.388310432434082,https://www.sdu.dk,77427,4883219,1,1,Europe
I179026463,Beijing Technology and Business University,https://ror.org/013e0zm98,education,CN,China,Asia,Beijing,,39.720340728759766,116.16999816894533,http://english.btbu.edu.cn/,17972,857457,2,1,Asia
I179093154,University of New Hampshire at Manchester,https://ror.org/04pvpk743,education,US,United States,Americas,Manchester,New Hampshire,42.98719024658203,-71.4687728881836,http://manchester.unh.edu/,15026,348814,5,3,North America
I179225836,University of Augsburg,https://ror.org/03p14d497,education,DE,Germany,Europe,Augsburg,Bayern,48.33388900756836,10.898332595825195,https://www.uni-augsburg.de/en/,26058,1035259,2,4,Europe
I17974374,Universidade de São Paulo,https://ror.org/036rp1748,education,BR,Brazil,Americas,São Paulo,,-23.54750061035156,-46.6361083984375,https://www5.usp.br,448714,21688141,8,14,South America
I179863766,Western Norway University of Applied Sciences,https://ror.org/05phns765,education,NO,Norway,Europe,Bergen,,60.39299011230469,5.324150085449219,https://www.hvl.no/,8994,240405,1,1,Europe
I18014758,Simon Fraser University,https://ror.org/0213rcc28,education,CA,Canada,Americas,Burnaby,,49.266361236572266,-122.95262908935548,https://www.sfu.ca,81320,5668983,44,60,North America
I180437899,University of Bremen,https://ror.org/04ers2y35,education,DE,Germany,Europe,Bremen,,53.07582092285156,8.807169914245605,https://www.uni-bremen.de/,68603,3286426,4,4,Europe
I180670191,"University of California, San Francisco",https://ror.org/043mz5j54,education,US,United States,Americas,San Francisco,,37.77492904663086,-122.41941833496094,https://www.ucsf.edu/,288798,48676956,1,3,North America
I180726961,Shenzhen University,https://ror.org/01vy4gh70,education,CN,China,Asia,Shenzhen,,22.54553985595703,114.06829833984376,https://www.szu.edu.cn,78934,4932443,10,20,Asia
I180825142,"City, University of London",https://ror.org/04489at23,education,GB,United Kingdom,Europe,London,,51.50852966308594,-0.1257400065660476,https://www.city.ac.uk,33813,1427559,29,19,Europe
I180923762,University of Cologne,https://ror.org/00rcxh774,education,DE,Germany,Europe,Cologne,,50.93333053588867,6.949999809265137,http://www.portal.uni-koeln.de/,122565,9122567,4,5,Europe
I180949307,Illinois Institute of Technology,https://ror.org/037t3ry66,education,US,United States,Americas,Chicago,,41.85002899169922,-87.6500473022461,https://www.iit.edu,33538,1620037,1,5,North America
I180980256,Waters (United States),https://ror.org/01h8xv021,company,US,United States,Americas,Milford,Massachusetts,42.13688659667969,-71.4811019897461,https://www.waters.com/nextgen/us/en.html,4431,346860,1,1,North America
I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://ror.org/00f7hpc57,education,DE,Germany,Europe,Erlangen,,49.59098815917969,11.007829666137695,https://www.fau.de/,138962,11415482,15,30,Europe
I181391015,Universidade Estadual de Campinas (UNICAMP),https://ror.org/04wffgt70,education,BR,Brazil,Americas,Campinas,,-22.90555953979492,-47.060829162597656,https://www.unicamp.br,193519,7722311,1,2,South America
I181653535,San Diego Supercomputer Center,https://ror.org/04mg3nk07,facility,US,United States,Americas,San Diego,,32.7157096862793,-117.16471862792967,http://www.sdsc.edu/,2708,456347,11,17,North America
I182083151,Universidad Rey Juan Carlos,https://ror.org/01v5cv687,education,ES,Spain,Europe,Madrid,,40.416500091552734,-3.7025599479675297,https://www.urjc.es/,32301,1252131,2,2,Europe
I182712176,Montanuniversität Leoben,https://ror.org/02fhfw393,education,AT,Austria,Europe,Leoben,,47.37649917602539,15.091440200805664,https://www.unileoben.ac.at,14242,605591,1,1,Europe
I18283598,Wheeling Jesuit University,https://ror.org/02z310y44,education,US,United States,Americas,Wheeling,West Virginia,40.06953048706055,-80.69181823730469,http://www.wju.edu/,796,53077,1,1,North America
I183067930,Shanghai Jiao Tong University,https://ror.org/0220qvk04,education,CN,China,Asia,Shanghai,,31.22221946716309,121.45806121826172,https://www.sjtu.edu.cn,337790,25432280,3,2,Asia
I183874917,Urbana University,https://ror.org/04kp3hw27,education,US,United States,Americas,Urbana,Ohio,40.09878921508789,-83.76094818115234,https://www.urbana.edu/,17213,985732,1,2,North America
I183935753,King's College London,https://ror.org/0220mzb33,education,GB,United Kingdom,Europe,London,,51.50852966308594,-0.1257400065660476,http://www.kcl.ac.uk/index.aspx,231513,20748331,5,5,Europe
I184565670,Georgetown University,https://ror.org/05vzafd60,education,US,United States,Americas,Washington,,38.895111083984375,-77.03636932373047,https://www.georgetown.edu,108098,7989052,1,1,North America
I184597095,National Institute of Informatics,https://ror.org/04ksd4g47,facility,JP,Japan,Asia,Tokyo,,35.68949890136719,139.69171142578125,https://www.nii.ac.jp,11378,322864,2,1,Asia
I184842277,Maharishi International University,https://ror.org/00qv5rb32,education,US,United States,Americas,Fairfield,,41.00862884521485,-91.9626693725586,https://www.miu.edu/,1680,46243,1,2,North America
I184999862,Universidad de Salamanca,https://ror.org/02f40zc51,education,ES,Spain,Europe,Salamanca,,40.96881866455078,-5.663879871368408,https://www.usal.es,58018,2595440,1,1,Europe
I1850255,University of Basel,https://ror.org/02s6k3f65,education,CH,Switzerland,Europe,Basel,,47.55839157104492,7.573269844055176,https://www.unibas.ch,100660,9753456,1,2,Europe
I185103710,"University of California, Santa Cruz",https://ror.org/03s65by71,education,US,United States,Americas,Santa Cruz,,36.97412109375,-122.03079986572266,https://www.ucsc.edu,70792,10783304,28,30,North America
I185261750,University of Toronto,https://ror.org/03dbr7087,education,CA,Canada,Americas,Toronto,,43.70642852783203,-79.39864349365234,https://www.utoronto.ca,529143,56567202,30,29,North America
I185443292,Wayne State University,https://ror.org/01070mq45,education,US,United States,Americas,Detroit,,42.33142852783203,-83.0457534790039,https://wayne.edu/,126348,10995752,11,22,North America
I185658715,Universities UK,https://ror.org/00mmfs450,nonprofit,GB,United Kingdom,Europe,London,,51.6337890625,-0.1070690006017685,http://www.universitiesuk.ac.uk/,4371,145759,1,1,Europe
I188538660,University of Colorado Boulder,https://ror.org/02ttsq026,education,US,United States,Americas,Boulder,,40.014991760253906,-105.2705535888672,http://www.colorado.edu/,154301,17577195,17,24,North America
I189158971,United States Naval Academy,https://ror.org/00znex860,education,US,United States,Americas,Annapolis,,38.97858810424805,-76.49183654785156,http://www.usna.edu/,12528,285019,1,1,North America
I189196454,The University of Texas at Arlington,https://ror.org/019kgqr73,education,US,United States,Americas,Arlington,Texas,32.73099899291992,-97.11499786376952,http://www.uta.edu/uta/,46809,3804825,1,1,North America
I189712700,University of Konstanz,https://ror.org/0546hnb39,education,DE,Germany,Europe,Konstanz,,47.66033172607422,9.175820350646973,https://www.uni-konstanz.de,45424,3142122,79,104,Europe
I190082696,Durham University,https://ror.org/01v29qb04,education,GB,United Kingdom,Europe,Durham,,54.76517868041992,-1.5782239437103271,https://www.dur.ac.uk/,101107,6462879,2,3,Europe
I190249584,Universität Innsbruck,https://ror.org/054pv6659,education,AT,Austria,Europe,Innsbruck,,47.26266098022461,11.394539833068848,https://www.uibk.ac.at,87915,6563408,1,1,Europe
I1902872,EURECOM,https://ror.org/00sse7z02,education,FR,France,Europe,Valbonne,,43.63291931152344,6.999110221862793,https://www.eurecom.fr,5433,246320,1,5,Europe
I190397597,University of Urbino,https://ror.org/04q4kt073,education,IT,Italy,Europe,Urbino,,43.72621154785156,12.636329650878906,https://www.uniurb.it,13772,1552387,1,1,Europe
I191208505,Xiamen University,https://ror.org/00mcjh785,education,CN,China,Asia,Xiamen,,24.47978973388672,118.08187103271484,https://www.xmu.edu.cn,105231,8549638,1,2,Asia
I191240316,University of Hull,https://ror.org/04nkhwh30,education,GB,United Kingdom,Europe,Hull,,53.744598388671875,-0.3352499902248382,https://www.hull.ac.uk,43959,2028789,4,6,Europe
I192396691,University of New Orleans,https://ror.org/034mtvk83,education,US,United States,Americas,New Orleans,,29.95465087890625,-90.0750732421875,http://www.uno.edu/,19432,1097347,1,1,North America
I192454743,Sandia National Laboratories California,https://ror.org/058m7ey48,facility,US,United States,Americas,Livermore,,37.68186950683594,-121.76801300048828,http://www.sandia.gov/locations/livermore_california.html,38546,2538943,4,7,North America
I192455969,York University,https://ror.org/05fq50484,education,CA,Canada,Americas,Toronto,,43.70642852783203,-79.39864349365234,https://www.yorku.ca,82545,3795550,1,1,North America
I193531525,George Washington University,https://ror.org/00y4zzh67,education,US,United States,Americas,Washington,,38.895111083984375,-77.03636932373047,http://www.gwu.edu/,113039,6627466,2,4,North America
I193619901,Constructor University,https://ror.org/02yrs2n53,education,DE,Germany,Europe,Bremen,,53.07582092285156,8.807169914245605,https://constructor.university,10602,1017961,3,5,Europe
I193662353,Utrecht University,https://ror.org/04pp8hn57,education,NL,Netherlands,Europe,Utrecht,,52.0908317565918,5.122220039367676,https://www.uu.nl,214518,19290254,4,3,Europe
I19370010,Orange (France),https://ror.org/035j0tq82,company,FR,France,Europe,Paris,,48.83502197265625,2.2924718856811523,http://www.orange.com/en/home,16219,541961,1,1,Europe
I193775966,Yonsei University,https://ror.org/01wjejq96,education,KR,"Korea, Republic of",Asia,Seoul,,37.56600189208984,126.97840118408205,https://www.yonsei.ac.kr,167758,12095331,1,1,Asia
I194028371,University of Regina,https://ror.org/03dzc0485,education,CA,Canada,Americas,Regina,,50.45008087158203,-104.6177978515625,https://www.uregina.ca,22026,1100048,4,5,North America
I195525897,Research Institute of Molecular Pathology,https://ror.org/02c5jsm26,facility,AT,Austria,Europe,Vienna,,48.1887321472168,16.401273727416992,http://www.imp.ac.at/,3411,1254794,1,2,Europe
I195575238,Middlebury College,https://ror.org/0217hb928,education,US,United States,Americas,Middlebury (village),Vermont,44.00835037231445,-73.17737579345703,http://www.middlebury.edu/#story500612,6421,204098,2,1,North America
I195893171,Zuse Institute Berlin,https://ror.org/02eva5865,facility,DE,Germany,Europe,Berlin,,52.52436828613281,13.410530090332031,https://www.zib.de,4568,158061,21,27,Europe
I196349391,Universität Ulm,https://ror.org/032000t02,education,DE,Germany,Europe,Ulm,,48.39841079711914,9.99155044555664,https://www.uni-ulm.de,78704,6319833,3,5,Europe
I19648265,Wright State University,https://ror.org/04qk6pt94,education,US,United States,Americas,Dayton,,39.75894927978515,-84.19161224365234,http://www.wright.edu/,32904,1442241,1,4,North America
I19700959,Florida International University,https://ror.org/02gz6gg07,education,US,United States,Americas,Miami,,25.774269104003903,-80.19365692138672,https://www.fiu.edu,63086,3279715,1,1,North America
I197251160,Hebrew University of Jerusalem,https://ror.org/03qxff017,education,IL,Israel,Asia,Jerusalem,,31.769039154052734,35.216331481933594,http://new.huji.ac.il/en,136207,10523434,4,4,Asia
I197323543,Johannes Gutenberg University Mainz,https://ror.org/023b0x485,education,DE,Germany,Europe,Mainz,,49.98419189453125,8.27910041809082,https://www.uni-mainz.de,130566,14629107,2,7,Europe
I197347611,Korea University,https://ror.org/047dqcg40,education,KR,"Korea, Republic of",Asia,Seoul,,37.56600189208984,126.97840118408205,https://www.korea.ac.kr,107377,8525432,5,7,Asia
I19772626,Yeshiva University,https://ror.org/045x93337,education,US,United States,Americas,New York,,40.71427154541016,-74.00596618652344,https://www.yu.edu,18675,2052441,1,2,North America
I19820366,Chinese Academy of Sciences,https://ror.org/034t30j35,other,CN,China,Asia,Beijing,,39.907501220703125,116.39723205566406,http://english.cas.cn/,925740,103285876,6,13,Asia
I198415970,Université d'Avignon et des Pays de Vaucluse,https://ror.org/00mfpxb84,education,FR,France,Europe,Avignon,,43.948341369628906,4.808919906616211,http://www.univ-avignon.fr/,7623,320092,2,2,Europe
I19894307,Université de Montpellier,https://ror.org/051escj72,education,FR,France,Europe,Montpellier,,43.610931396484375,3.876349925994873,https://umontpellier.fr,117885,7712683,1,5,Europe
I199028557,Kyushu Sangyo University,https://ror.org/01wqrpc44,education,JP,Japan,Asia,Fukuoka,,33.66985321044922,130.44482421875,http://www.kyusan-u.ac.jp/index.html,3414,40868,1,1,Asia
I199693650,Umm al-Qura University,https://ror.org/01xjqrm90,education,SA,Saudi Arabia,Asia,Makkah al Mukarramah,,21.320375442504883,39.96794891357422,https://uqu.edu.sa/english,25580,558780,1,1,Asia
I200166805,Guy's and St Thomas' NHS Foundation Trust,https://ror.org/00j161312,healthcare,GB,United Kingdom,Europe,London,,51.5048828125,-0.0889390036463737,http://www.guysandstthomas.nhs.uk/Home.aspx,27746,2337754,2,1,Europe
I200332995,TU Dortmund University,https://ror.org/01k97gp34,education,DE,Germany,Europe,Dortmund,,51.51493835449219,7.466000080108643,https://www.tu-dortmund.de/en/,61451,4431103,1,2,Europe
I200576644,HRL Laboratories (United States),https://ror.org/05p7te762,company,US,United States,Americas,Malibu,,34.0257682800293,-118.78040313720705,https://www.hrl.com,11337,650859,1,4,North America
I200719446,Vanderbilt University,https://ror.org/02vm5rt34,education,US,United States,Americas,Nashville,Tennessee,36.14493560791016,-86.80268859863281,http://www.vanderbilt.edu/,163752,18845700,1,3,North America
I200763008,University of Giessen,https://ror.org/033eqas34,education,DE,Germany,Europe,Giessen,Hessen,50.580509185791016,8.677087783813477,http://www.uni-giessen.de/cms/,81376,5897392,1,1,Europe
I200769079,Hong Kong University of Science and Technology,https://ror.org/00q4vv597,education,HK,Hong Kong,Asia,Hong Kong,,22.2783203125,114.17469024658205,https://hkust.edu.hk,85822,7858157,104,133,Asia
I200870766,Brookhaven National Laboratory,https://ror.org/02ex6cf31,facility,US,United States,Americas,Upton,,40.86954116821289,-72.88677215576172,http://www.bnl.gov/world/,71409,13850202,6,11,North America
I20089843,Princeton University,https://ror.org/00hx57361,education,US,United States,Americas,Princeton,,40.34872055053711,-74.65904998779297,https://www.princeton.edu,201103,25318956,11,21,North America
I20121455,Bielefeld University,https://ror.org/02hpadn98,education,DE,Germany,Europe,Bielefeld,,52.033329010009766,8.533329963684082,https://www.uni-bielefeld.de,58887,3010721,1,1,Europe
I201448701,University of Washington,https://ror.org/00cvxb145,education,US,United States,Americas,Seattle,,47.60620880126953,-122.33206939697266,https://www.washington.edu,503505,89165415,45,50,North America
I201537933,Tohoku University,https://ror.org/01dq60k83,education,JP,Japan,Asia,Sendai,,38.26667022705078,140.86666870117188,http://www.tohoku.ac.jp/en/,263783,17933531,1,1,Asia
