institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I103531236,Boston College,https://ror.org/02n2fzt79,education,US,United States,Americas,Boston,,42.358428955078125,-71.05976867675781,https://www.bc.edu,45444,3307541,2,4,North America
I104914703,Université du Québec à Chicoutimi,https://ror.org/00y3hzd62,education,CA,Canada,Americas,Saguenay,,48.416751861572266,-71.06572723388672,https://www.uqac.ca,10221,408894,3,1,North America
I106118109,Eötvös Loránd University,https://ror.org/01jsq2704,education,HU,Hungary,Europe,Budapest,,47.498348236083984,19.040449142456055,https://www.elte.hu,58452,2935731,1,1,Europe
I106165777,University of Central Florida,https://ror.org/036nfer12,education,US,United States,Americas,Orlando,,28.538339614868164,-81.37924194335938,https://www.ucf.edu,80766,4237792,1,1,North America
I107077323,Worcester Polytechnic Institute,https://ror.org/05ejpqr48,education,US,United States,Americas,Worcester,,42.26258850097656,-71.80229187011719,https://www.wpi.edu,22303,1147028,24,30,North America
I107257983,Darmstadt University of Applied Sciences,https://ror.org/047wbd030,education,DE,Germany,Europe,Darmstadt,,49.87166976928711,8.650270462036133,https://www.h-da.de/,18775,674299,1,2,Europe
I107371206,Federal Institute of São Paulo,https://ror.org/005pn5z34,education,BR,Brazil,Americas,São Paulo,,-23.52257537841797,-46.623046875,http://www.ifsp.edu.br/,8045,52278,1,1,South America
I107606265,Broad Institute,https://ror.org/05a0ya142,other,US,United States,Americas,Cambridge,,42.375099182128906,-71.1056137084961,http://www.broadinstitute.org/,57183,25467937,1,2,North America
I107639228,University of Notre Dame,https://ror.org/00mkhxb43,education,US,United States,Americas,Notre Dame,,41.700191497802734,-86.23793029785156,https://www.nd.edu/,93254,7817108,7,15,North America
I107766831,NSF National Center for Atmospheric Research,https://ror.org/05cvfcr44,facility,US,United States,Americas,Boulder,,40.014991760253906,-105.2705535888672,https://ncar.ucar.edu/,35427,5059801,1,1,North America
I10824318,Universidade Federal de Ouro Preto,https://ror.org/056s65p46,education,BR,Brazil,Americas,Ouro Preto,,-20.394840240478516,-43.50516891479492,http://www.ufop.br/,18722,455065,1,1,South America
I108290504,University of Pisa,https://ror.org/03ad39j10,education,IT,Italy,Europe,Pisa,,43.70853042602539,10.403599739074709,https://www.unipi.it,124327,11330571,1,1,Europe
I108464949,Center for Applied Special Technology,https://ror.org/05ggkk749,nonprofit,US,United States,Americas,Wakefield,Massachusetts,42.50066375732422,-71.0749282836914,http://www.cast.org/,188,6101,1,1,North America
I109935558,Ningbo University,https://ror.org/03et85d35,education,CN,China,Asia,Ningbo,,29.878189086914062,121.54945373535156,https://www.nbu.edu.cn,53475,2313687,1,1,Asia
I110152177,University of Akron,https://ror.org/02kyckx55,education,US,United States,Americas,Akron,Ohio,41.07643127441406,-81.50836181640625,http://www.uakron.edu/,33655,1847691,1,1,North America
I110378019,Southern Illinois University Carbondale,https://ror.org/049kefs16,education,US,United States,Americas,Carbondale,,37.72726821899414,-89.21675109863281,http://www.siu.edu/,31086,1353359,1,1,North America
I111088046,Boston University,https://ror.org/05qwgg493,education,US,United States,Americas,Boston,,42.358428955078125,-71.05976867675781,https://www.bu.edu,190644,23901042,2,3,North America
I111277659,Chonnam National University,https://ror.org/05kzjxq56,education,KR,"Korea, Republic of",Asia,Gwangju,,35.176387786865234,126.9080581665039,http://global.jnu.ac.kr/jnumain.aspx,44613,3208017,1,1,Asia
I111483173,King University,https://ror.org/01evb6z23,education,US,United States,Americas,Bristol,Tennessee,36.58729553222656,-82.15910339355469,http://www.king.edu/,5706,104498,1,1,North America
I1118541,University of East Anglia,https://ror.org/026k5mg93,education,GB,United Kingdom,Europe,Norwich,,52.627830505371094,1.2983399629592896,https://www.uea.ac.uk/,66466,4999886,4,6,Europe
I111979921,Northwestern University,https://ror.org/000e0be47,education,US,United States,Americas,Evanston,,42.041141510009766,-87.6900634765625,http://www.northwestern.edu/,246843,34199751,31,31,North America
I112260969,Ontario Institute for Cancer Research,https://ror.org/043q8yx54,other,CA,Canada,Americas,Toronto,,43.70642852783203,-79.39864349365234,https://oicr.on.ca,12257,4110297,3,2,North America
I112756935,Mannheim University of Applied Sciences,https://ror.org/04p61dj41,education,DE,Germany,Europe,Mannheim,,49.48910140991211,8.466939926147461,https://www.hs-mannheim.de,3251,78714,1,1,Europe
I113508548,Albany State University,https://ror.org/01vme4277,education,US,United States,Americas,Albany,,31.578510284423828,-84.1557388305664,https://www.asurams.edu,18627,1135839,1,2,North America
I113979032,Twitter (United States),https://ror.org/04wt43v05,company,US,United States,Americas,San Francisco,,37.77492904663086,-122.41941833496094,https://twitter.com/,10420,87211,3,4,North America
I114017466,University of Technology Sydney,https://ror.org/03f0f6041,education,AU,Australia,Oceania,Sydney,,-33.86785125732422,151.2073211669922,https://www.uts.edu.au,87436,4764433,4,5,Oceania
I114027177,University of North Carolina at Chapel Hill,https://ror.org/0130frc33,education,US,United States,Americas,Chapel Hill,,35.91320037841797,-79.05583953857422,https://www.unc.edu,289262,33211874,42,75,North America
I114073160,Sutter Health,https://ror.org/0060avh92,healthcare,US,United States,Americas,Sacramento,,38.58156967163086,-121.49440002441406,http://www.sutterhealth.org/,1841,78141,1,1,North America
I114395901,University of Nebraska–Lincoln,https://ror.org/043mer456,education,US,United States,Americas,Lincoln,,40.79999923706055,-96.66696166992188,http://www.unl.edu/,99325,7801888,1,1,North America
I114457229,University of Geneva,https://ror.org/01swzsf04,education,CH,Switzerland,Europe,Geneva,,46.20222091674805,6.145689964294434,https://www.unige.ch/,118236,14375475,1,3,Europe
I114832834,Tulane University,https://ror.org/04vmvtb21,education,US,United States,Americas,New Orleans,,29.95465087890625,-90.0750732421875,https://tulane.edu,80092,7045050,5,13,North America
I115752224,University of Insubria,https://ror.org/00s409261,education,IT,Italy,Europe,Varese,,45.820579528808594,8.82511043548584,http://www.uninsubria.eu/,25130,1684890,2,2,Europe
I11662577,Monash University Malaysia,https://ror.org/00yncr324,education,MY,Malaysia,Asia,Subang Jaya,,3.043839931488037,101.58061981201172,https://www.monash.edu.my/,14341,705041,1,1,Asia
I116953780,Tongji University,https://ror.org/03rc6as71,education,CN,China,Asia,Shanghai,,31.22221946716309,121.45806121826172,https://www.tongji.edu.cn,167597,9439558,21,31,Asia
I1174212,University of Southern California,https://ror.org/03taz7m60,education,US,United States,Americas,Los Angeles,,34.05223083496094,-118.24368286132812,https://usc.edu,263592,26999512,6,11,North America
I118019719,Roche (Switzerland),https://ror.org/00by1q217,company,CH,Switzerland,Europe,Basel,,47.55839157104492,7.573269844055176,http://www.roche.ch/en/index.htm,29403,4332102,1,2,Europe
I118118575,New Jersey Institute of Technology,https://ror.org/05e74xb87,education,US,United States,Americas,Newark,,40.73566055297851,-74.17237091064453,https://www.njit.edu,28843,1244785,1,1,North America
I118347636,Australian National University,https://ror.org/019wvm592,education,AU,Australia,Oceania,Canberra,,-35.2834587097168,149.12806701660156,https://www.anu.edu.au,179913,13469601,2,8,Oceania
I118353179,DePaul University,https://ror.org/04xtx5t16,education,US,United States,Americas,Chicago,,41.85002899169922,-87.6500473022461,https://www.depaul.edu/Pages/default.aspx,20812,670302,2,1,North America
I118501908,National Research University Higher School of Economics,https://ror.org/055f7t516,education,RU,Russian Federation,Europe,Moscow,,55.761287689208984,37.63307189941406,http://www.hse.ru/en/,56917,691375,1,1,Europe
I118564535,University of Bern,https://ror.org/02k7v4d05,education,CH,Switzerland,Europe,Bern,,46.948089599609375,7.447440147399902,https://www.unibe.ch,142571,13399885,1,1,Europe
I118692353,University of Science and Technology,https://ror.org/05bj7sh33,education,YE,Yemen,Asia,Aden,,12.77943992614746,45.03667068481445,https://www.ust.edu,13846,141229,1,1,Asia
I119003972,Roma Tre University,https://ror.org/05vf0dg29,education,IT,Italy,Europe,Rome,,41.89192962646485,12.511329650878906,https://www.uniroma3.it,33916,1839789,1,4,Europe
I11957088,Michigan Technological University,https://ror.org/0036rpn28,education,US,United States,Americas,Houghton,,47.12186813354492,-88.56900787353516,https://www.mtu.edu,27950,1562874,1,2,North America
I119888943,Gonzaga University,https://ror.org/03ze70h02,education,US,United States,Americas,Spokane,,47.65966033935547,-117.4290771484375,https://www.gonzaga.edu,4545,94535,1,1,North America
I120250893,New York University Abu Dhabi,https://ror.org/00e5k0821,education,AE,United Arab Emirates,Asia,Abu Dhabi,,24.45117950439453,54.3969612121582,https://nyuad.nyu.edu/,6399,343993,1,1,Asia
I12097938,West Virginia University,https://ror.org/011vxgd24,education,US,United States,Americas,Morgantown,,39.62953186035156,-79.95590209960938,https://www.wvu.edu,82446,4897565,1,1,North America
I121748325,Universidad Complutense de Madrid,https://ror.org/02p0gd045,education,ES,Spain,Europe,Madrid,,40.416500091552734,-3.7025599479675297,https://www.ucm.es,150759,7535138,1,1,Europe
I121797337,Leiden University,https://ror.org/027bh9e22,education,NL,Netherlands,Europe,Leiden,,52.158329010009766,4.493060111999512,http://www.leiden.edu/,135027,11303016,1,1,Europe
I121820613,Louisiana State University,https://ror.org/05ect4e57,education,US,United States,Americas,Baton Rouge,,30.44331932067871,-91.18746948242188,http://www.lsu.edu/,117423,8302519,2,4,North America
I121883995,Johannes Kepler University of Linz,https://ror.org/052r2xn60,education,AT,Austria,Europe,Linz,,48.30638885498047,14.286109924316406,https://www.jku.at,33109,1476254,13,11,Europe
I121934306,Tufts University,https://ror.org/05wvpxv85,education,US,United States,Americas,Medford,,42.41843032836914,-71.10616302490234,https://www.tufts.edu,113676,13238425,21,30,North America
I121980950,Utah State University,https://ror.org/00h6set76,education,US,United States,Americas,Logan,,41.73548889160156,-111.83438873291016,http://www.usu.edu/,52066,2957206,1,1,North America
I122140584,Universidade Federal do Rio de Janeiro,https://ror.org/03490as77,education,BR,Brazil,Americas,Rio de Janeiro,,-22.90641975402832,-43.18223190307617,https://ufrj.br,165897,7465541,1,1,South America
I122411786,California Institute of Technology,https://ror.org/05dxps055,education,US,United States,Americas,Pasadena,,34.14778137207031,-118.14452362060548,https://www.caltech.edu,233603,34298656,13,20,North America
I122754148,SAS Institute (United States),https://ror.org/01093z329,company,US,United States,Americas,Cary,North Carolina,35.82869338989258,-78.76713562011719,https://www.sas.com/en_us/home.html,1447,100419,1,1,North America
I122991210,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",https://ror.org/05kacka20,facility,IT,Italy,Europe,Pisa,,43.70853042602539,10.403599739074709,https://www.isti.cnr.it,14061,367236,10,18,Europe
I12315562,Texas Tech University,https://ror.org/0405mnx93,education,US,United States,Americas,Lubbock,,33.57786178588867,-101.85517120361328,https://www.ttu.edu/,91142,5746564,1,1,North America
I123387679,Uppsala University,https://ror.org/048a87296,education,SE,Sweden,Europe,Uppsala,,59.85882186889648,17.63888931274414,https://www.uu.se/en/,188543,16855224,4,3,Europe
I123431417,Scripps Research Institute,https://ror.org/02dxx6824,nonprofit,US,United States,Americas,San Diego,,32.7157096862793,-117.16471862792967,https://www.scripps.edu/,43758,12751014,4,7,North America
I12356871,Télécom Paris,https://ror.org/01naq7912,education,FR,France,Europe,Paris,,48.85340881347656,2.34879994392395,https://www.telecom-paris.fr,15127,486290,10,10,Europe
I123900574,Pohang University of Science and Technology,https://ror.org/04xysgw12,education,KR,"Korea, Republic of",Asia,Pohang,,36.029170989990234,129.36480712890625,http://www.postech.ac.kr/,51720,5377467,2,2,Asia
I124055696,University of Copenhagen,https://ror.org/035b05819,education,DK,Denmark,Europe,Copenhagen,,55.67594146728515,12.565529823303224,https://www.ku.dk,270624,25409777,8,5,Europe
I124227911,Ben-Gurion University of the Negev,https://ror.org/05tkyf982,education,IL,Israel,Asia,Beersheba,,31.262191772460938,34.801509857177734,http://in.bgu.ac.il/en,89092,4919864,5,5,Asia
I124261462,Oxford Brookes University,https://ror.org/04v2twj65,education,GB,United Kingdom,Europe,Oxford,,51.752220153808594,-1.2559599876403809,https://www.brookes.ac.uk/,21192,859973,1,2,Europe
I124357947,University of London,https://ror.org/04cw6st05,education,GB,United Kingdom,Europe,London,,51.50852966308594,-0.1257400065660476,https://london.ac.uk,91691,6871494,4,8,Europe
I125749732,Western University,https://ror.org/02grkyz14,education,CA,Canada,Americas,London,,42.98339080810547,-81.23303985595703,https://uwo.ca,160069,11916655,1,1,North America
I125839683,Beijing Institute of Technology,https://ror.org/01skt4w74,education,CN,China,Asia,Beijing,,39.907501220703125,116.39723205566406,https://bit.edu.cn,120742,6918196,3,10,Asia
I126307644,University of Iowa,https://ror.org/036jqmy94,education,US,United States,Americas,Iowa City,,41.661128997802734,-91.53016662597656,https://uiowa.edu,184601,18661471,3,1,North America
I126533617,Alliant International University,https://ror.org/04k8zab17,education,US,United States,Americas,San Diego,California,32.896522521972656,-117.0944595336914,https://www.alliant.edu/locations/san-diego-campus/,4630,160823,1,1,North America
I126633494,University of Basrah,https://ror.org/00840ea57,education,IQ,Iraq,Asia,Basra,,30.508520126342773,47.780399322509766,https://www.uobasrah.edu.iq,12513,174098,1,1,Asia
