author_id,n_papers,total_citations,n_awards,display_name,doi_list
A5000099153,8,379.0,0,Marcus Magnor,"[""10.1109/tvcg.2011.237"", ""10.1109/tvcg.2012.281"", ""10.1109/tvcg.2015.2467612"", ""10.1109/vast.2009.5332628"", ""10.1109/vast.2010.5652433"", ""10.1109/vast.2011.6102437"", ""10.1109/visual.2004.18"", ""10.1109/visual.2005.1532803""]"
A5000102893,2,123.0,0,David Akers,"[""10.1109/visual.2003.1250392"", ""10.1109/visual.2004.30""]"
A5000123743,1,5.0,0,Walid G. Aref,"[""10.1109/vast50239.2020.00012""]"
A5000145300,1,20.0,0,R.d. Herch,"[""10.1109/visual.2003.1250351""]"
A5000147776,8,328.0,0,Renato Pajarola,"[""10.1109/tvcg.2011.198"", ""10.1109/tvcg.2011.214"", ""10.1109/visual.1998.745280"", ""10.1109/visual.1999.809901"", ""10.1109/visual.2000.885703"", ""10.1109/visual.2002.1183796"", ""10.1109/visual.2002.1183800"", ""10.1109/visual.2005.1532801""]"
A5000160353,1,5.0,0,M. Wagner,"[""10.1109/visual.1994.346337""]"
A5000172836,1,29.0,0,J. Juric,"[""10.1109/visual.2005.1532821""]"
A5000173125,8,249.0,0,Stefan Gumhold,"[""10.1109/tvcg.2019.2934367"", ""10.1109/tvcg.2020.3028954"", ""10.1109/tvcg.2022.3209400"", ""10.1109/visual.1999.809868"", ""10.1109/visual.2001.964504"", ""10.1109/visual.2002.1183785"", ""10.1109/visual.2003.1250408"", ""10.1109/visual.2005.1532859""]"
A5000175003,1,5.0,0,Calvin Yau,"[""10.1109/vast50239.2020.00012""]"
A5000189941,3,134.0,0,Shilpika,"[""10.1109/tvcg.2019.2934433"", ""10.1109/tvcg.2020.3028889"", ""10.1109/tvcg.2020.3030385""]"
A5000199768,1,1.0,1,Zhicheng Liu,"[""10.1109/tvcg.2024.3456296""]"
A5000212755,1,51.0,0,Jean François Im,"[""10.1109/tvcg.2013.160""]"
A5000228959,1,54.0,0,Lendie Follett,"[""10.1109/tvcg.2012.230""]"
A5000242175,1,1.0,0,D. Stevenson,"[""10.1109/visual.1991.175830""]"
A5000242649,1,82.0,0,George Otto,"[""10.1109/infvis.2000.885102""]"
A5000254667,1,35.0,1,Christian Pölitz,"[""10.1109/vast.2010.5652478""]"
A5000261303,1,33.0,0,Jakob Jakob,"[""10.1109/tvcg.2020.3028947""]"
A5000266021,1,70.0,0,Ginette Wessel,"[""10.1109/tvcg.2007.70574""]"
A5000323557,1,176.0,0,Norman Au,"[""10.1109/tvcg.2010.183""]"
A5000366779,1,0.0,0,Maria Lantin,"[""10.1109/visual.1998.745339""]"
A5000371948,1,9.0,0,Benjamin Russig,"[""10.1109/tvcg.2022.3209400""]"
A5000374095,2,481.0,0,Beth Hetzler,"[""10.1109/infvis.1998.729570"", ""10.1109/infvis.2000.885098""]"
A5000390546,1,21.0,0,Caglar Yildirim,"[""10.1109/tvcg.2023.3327368""]"
A5000413604,15,771.0,1,Xavier Tricoche,"[""10.1109/tvcg.2007.70551"", ""10.1109/tvcg.2007.70557"", ""10.1109/tvcg.2008.133"", ""10.1109/tvcg.2008.148"", ""10.1109/tvcg.2010.133"", ""10.1109/tvcg.2011.254"", ""10.1109/tvcg.2012.269"", ""10.1109/tvcg.2013.128"", ""10.1109/tvcg.2020.3030402"", ""10.1109/visual.1999.809897"", ""10.1109/visual.2000.885716"", ""10.1109/visual.2001.964507"", ""10.1109/visual.2004.107"", ""10.1109/visual.2004.113"", ""10.1109/visual.2004.52""]"
A5000420564,7,273.0,2,Bettina Speckmann,"[""10.1109/tvcg.2010.180"", ""10.1109/tvcg.2011.202"", ""10.1109/tvcg.2014.2346274"", ""10.1109/tvcg.2016.2598619"", ""10.1109/tvcg.2017.2745140"", ""10.1109/tvcg.2020.3028953"", ""10.1109/tvcg.2024.3456168""]"
A5000426173,1,134.0,0,Janu Verma,"[""10.1109/tvcg.2017.2745085""]"
A5000426391,1,4.0,0,Robert Sweet,"[""10.1109/tvcg.2010.221""]"
A5000430651,3,71.0,0,David Thompson,"[""10.1109/tvcg.2006.201"", ""10.1109/tvcg.2007.70600"", ""10.1109/visual.2005.1532776""]"
A5000474356,26,1759.0,5,Nan Cao,"[""10.1109/tvcg.2010.154"", ""10.1109/tvcg.2011.188"", ""10.1109/tvcg.2012.291"", ""10.1109/tvcg.2014.2346922"", ""10.1109/tvcg.2015.2467196"", ""10.1109/tvcg.2016.2598867"", ""10.1109/tvcg.2017.2744419"", ""10.1109/tvcg.2017.2745320"", ""10.1109/tvcg.2018.2864825"", ""10.1109/tvcg.2018.2864885"", ""10.1109/tvcg.2020.3030403"", ""10.1109/tvcg.2020.3030465"", ""10.1109/tvcg.2021.3114774"", ""10.1109/tvcg.2021.3114775"", ""10.1109/tvcg.2021.3114779"", ""10.1109/tvcg.2021.3114804"", ""10.1109/tvcg.2022.3209409"", ""10.1109/tvcg.2022.3209428"", ""10.1109/tvcg.2022.3209461"", ""10.1109/tvcg.2022.3209486"", ""10.1109/tvcg.2023.3326925"", ""10.1109/tvcg.2023.3327200"", ""10.1109/tvcg.2023.3327385"", ""10.1109/tvcg.2023.3327387"", ""10.1109/tvcg.2024.3456346"", ""10.1109/vast.2016.7883510""]"
A5000497037,2,57.0,0,Supriya Garg,"[""10.1109/vast.2008.4677352"", ""10.1109/vast.2010.5652484""]"
A5000530055,1,1.0,0,Anthony Kouroupis,"[""10.1109/tvcg.2021.3114805""]"
A5000555892,11,874.0,1,Harald Piringer,"[""10.1109/tvcg.2009.110"", ""10.1109/tvcg.2013.122"", ""10.1109/tvcg.2013.125"", ""10.1109/tvcg.2014.2346321"", ""10.1109/tvcg.2014.2346578"", ""10.1109/tvcg.2015.2468011"", ""10.1109/tvcg.2016.2598589"", ""10.1109/tvcg.2016.2598592"", ""10.1109/tvcg.2017.2745158"", ""10.1109/tvcg.2018.2865024"", ""10.1109/vast.2012.6400556""]"
A5000586573,1,0.0,0,Gérard Lecina,"[""10.1109/visual.2000.885700""]"
A5000588866,1,73.0,0,Fenjin Ye,"[""10.1109/tvcg.2017.2744098""]"
A5000594918,2,130.0,0,Matthias Kreuseler,"[""10.1109/infvis.2000.885088"", ""10.1109/infvis.2004.2""]"
A5000602540,2,89.0,0,Mike Cammarano,"[""10.1109/tvcg.2007.70617"", ""10.1109/tvcg.2008.178""]"
A5000611152,1,3.0,0,V.j. Argiro,"[""10.1109/visual.1990.146413""]"
A5000621096,1,0.0,0,H. Videau,"[""10.1109/visual.1993.398897""]"
A5000622960,5,71.0,0,Johanna Schmidt,"[""10.1109/tvcg.2013.213"", ""10.1109/tvcg.2023.3326912"", ""10.1109/tvcg.2023.3327203"", ""10.1109/tvcg.2024.3456315"", ""10.1109/vast.2014.7042491""]"
A5000623954,1,32.0,0,Mahdi Pakdaman Naeini,"[""10.1109/tvcg.2017.2745118""]"
A5000624130,1,16.0,0,Hao Dong,"[""10.1109/tvcg.2017.2744080""]"
A5000630402,2,147.0,0,Bryan A. Pendleton,"[""10.1109/vast.2006.261450"", ""10.1109/vast.2007.4389010""]"
A5000643470,2,270.0,0,Greg Welch,"[""10.1109/visual.1999.809883"", ""10.1109/visual.2000.885684""]"
A5000644268,1,26.0,0,Clemens W.g.m. Löwik,"[""10.1109/tvcg.2010.134""]"
A5000687536,8,380.0,0,James Ahrens,"[""10.1109/tvcg.2009.195"", ""10.1109/tvcg.2011.162"", ""10.1109/tvcg.2015.2467411"", ""10.1109/tvcg.2017.2743978"", ""10.1109/tvcg.2018.2865051"", ""10.1109/tvcg.2023.3326584"", ""10.1109/visual.1997.663919"", ""10.1109/visual.2004.95""]"
A5000695235,1,158.0,0,Michael Grossniklaus,"[""10.1109/tvcg.2017.2745181""]"
A5000695313,16,386.0,0,Krešimir Matković,"[""10.1109/infvis.2002.1173149"", ""10.1109/tvcg.2008.144"", ""10.1109/tvcg.2008.145"", ""10.1109/tvcg.2009.155"", ""10.1109/tvcg.2010.171"", ""10.1109/tvcg.2012.243"", ""10.1109/tvcg.2014.2346744"", ""10.1109/tvcg.2014.2346754"", ""10.1109/tvcg.2019.2934784"", ""10.1109/tvcg.2022.3209432"", ""10.1109/tvcg.2022.3209478"", ""10.1109/tvcg.2024.3456356"", ""10.1109/vast.2014.7042481"", ""10.1109/vast.2015.7347635"", ""10.1109/visual.2003.1250417"", ""10.1109/visual.2005.1532821""]"
A5000705218,1,38.0,0,Haikuan Zhu,"[""10.1109/tvcg.2020.3030374""]"
