institution_id,macro_category,count,institution_name
I74973139,Network Security & Anomaltic,1,Carnegie Mellon University
I74973139,Perception & Uncertainty Vis,2,Carnegie Mellon University
I74973139,Social & Biomedical Analytics,3,Carnegie Mellon University
I74973139,Visual Programming & ML,12,Carnegie Mellon University
I74973139,Volume Rendering & Immersive Tech,7,Carnegie Mellon University
I75027704,Causality & Temporal Analysis,1,University of Tennessee at Knoxville
I75027704,Geospatial & Seismic Vis,1,University of Tennessee at Knoxville
I75027704,High-Dimensional Data Analysis,2,University of Tennessee at Knoxville
I75027704,Imaging & Display Technology,1,University of Tennessee at Knoxville
I75027704,Visual Programming & ML,2,University of Tennessee at Knoxville
I75027704,Volume Rendering & Immersive Tech,3,University of Tennessee at Knoxville
I75059550,High-Dimensional Data Analysis,1,Zhejiang Gongshang University
I76130692,Causality & Temporal Analysis,5,Zhejiang University
I76130692,Graph Visualization & Text Mining,29,Zhejiang University
I76130692,High-Dimensional Data Analysis,11,Zhejiang University
I76130692,Imaging & Display Technology,2,Zhejiang University
I76130692,Network Security & Anomaltic,3,Zhejiang University
I76130692,Perception & Uncertainty Vis,3,Zhejiang University
I76130692,Social & Biomedical Analytics,4,Zhejiang University
I76130692,Visual Programming & ML,24,Zhejiang University
I76130692,Volume Rendering & Immersive Tech,9,Zhejiang University
I76134821,Volume Rendering & Immersive Tech,4,Medical University of Vienna
I76198965,High-Dimensional Data Analysis,1,Friedrich Schiller University Jena
I76198965,Imaging & Display Technology,4,Friedrich Schiller University Jena
I76198965,Volume Rendering & Immersive Tech,1,Friedrich Schiller University Jena
I76569877,Visual Programming & ML,1,Southeast University
I76569877,Volume Rendering & Immersive Tech,1,Southeast University
I76571253,Graph Visualization & Text Mining,1,Imam Abdulrahman Bin Faisal University
I76835614,Volume Rendering & Immersive Tech,1,University of Missouri
I78577930,Graph Visualization & Text Mining,1,Columbia University
I78577930,High-Dimensional Data Analysis,1,Columbia University
I78577930,Perception & Uncertainty Vis,1,Columbia University
I78577930,Topological Data Analysis,1,Columbia University
I78577930,Visual Programming & ML,1,Columbia University
I78650965,Causality & Temporal Analysis,1,TU Dresden
I78650965,Graph Visualization & Text Mining,1,TU Dresden
I78650965,Molecular Simulation,1,TU Dresden
I78650965,Visual Programming & ML,1,TU Dresden
I78650965,Volume Rendering & Immersive Tech,7,TU Dresden
I7882870,Causality & Temporal Analysis,1,University of Glasgow
I7882870,Graph Visualization & Text Mining,2,University of Glasgow
I7882870,High-Dimensional Data Analysis,2,University of Glasgow
I7882870,Perception & Uncertainty Vis,1,University of Glasgow
I7882870,Volume Rendering & Immersive Tech,1,University of Glasgow
I79272384,Causality & Temporal Analysis,1,"University of Maryland, Baltimore County"
I79272384,Geospatial & Seismic Vis,1,"University of Maryland, Baltimore County"
I79272384,Graph Visualization & Text Mining,2,"University of Maryland, Baltimore County"
I79272384,High-Dimensional Data Analysis,1,"University of Maryland, Baltimore County"
I79272384,Perception & Uncertainty Vis,2,"University of Maryland, Baltimore County"
I79272384,Social & Biomedical Analytics,1,"University of Maryland, Baltimore County"
I79272384,Visual Programming & ML,1,"University of Maryland, Baltimore County"
I79272384,Volume Rendering & Immersive Tech,5,"University of Maryland, Baltimore County"
I79510175,Geospatial & Seismic Vis,1,Cardiff University
I79510175,Graph Visualization & Text Mining,1,Cardiff University
I79510175,High-Dimensional Data Analysis,1,Cardiff University
I79510175,Imaging & Display Technology,1,Cardiff University
I79510175,Social & Biomedical Analytics,1,Cardiff University
I79510175,Visual Programming & ML,2,Cardiff University
I79576946,Causality & Temporal Analysis,1,University of Pennsylvania
I79576946,Imaging & Display Technology,1,University of Pennsylvania
I79576946,Perception & Uncertainty Vis,1,University of Pennsylvania
I79891267,Graph Visualization & Text Mining,1,Singapore Management University
I79891267,Social & Biomedical Analytics,2,Singapore Management University
I80143920,High-Dimensional Data Analysis,1,Shandong University of Science and Technology
I80605987,High-Dimensional Data Analysis,1,NOAA Earth System Research Laboratory
I8078737,High-Dimensional Data Analysis,1,Clemson University
I8078737,Topological Data Analysis,1,Clemson University
I8078737,Volume Rendering & Immersive Tech,1,Clemson University
I80850581,High-Dimensional Data Analysis,1,Universidade Federal de Uberlândia
I8087733,Graph Visualization & Text Mining,4,University of Tübingen
I8087733,High-Dimensional Data Analysis,1,University of Tübingen
I8087733,Imaging & Display Technology,4,University of Tübingen
I8087733,Network Security & Anomaltic,1,University of Tübingen
I8087733,Social & Biomedical Analytics,1,University of Tübingen
I8087733,Visual Programming & ML,2,University of Tübingen
I8087733,Volume Rendering & Immersive Tech,11,University of Tübingen
I81020160,High-Dimensional Data Analysis,1,Louisiana State University Health Sciences Center Shreveport
I81365321,Imaging & Display Technology,1,Old Dominion University
I81365321,Volume Rendering & Immersive Tech,2,Old Dominion University
I8204097,High-Dimensional Data Analysis,2,Ludwig-Maximilians-Universität München
I8204097,Network Security & Anomaltic,1,Ludwig-Maximilians-Universität München
I8204097,Perception & Uncertainty Vis,1,Ludwig-Maximilians-Universität München
I8204097,Social & Biomedical Analytics,2,Ludwig-Maximilians-Universität München
I8204097,Visual Programming & ML,1,Ludwig-Maximilians-Universität München
I82495205,Graph Visualization & Text Mining,1,University of Alabama in Huntsville
