institution_id,institution_name,country_code,country_name,world_region,latitude,longitude,city
I1290206253,Microsoft (United States),US,United States,Americas,47.673988342285156,-122.12151336669922,Redmond
I12912129,Northeastern University,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston
I1291425158,Google (United States),US,United States,Americas,37.42295455932617,-122.08406066894531,Mountain View
I1292875679,Commonwealth Scientific and Industrial Research Organisation,AU,Australia,Oceania,-35.2834587097168,149.12806701660156,Canberra
I1292974536,Ford Motor Company (United States),US,United States,Americas,42.292301177978516,-83.23442077636719,Dearborn
I1294297726,Exploratorium,US,United States,Americas,37.80143356323242,-122.3975601196289,San Francisco
I1294671590,Centre National de la Recherche Scientifique,FR,France,Europe,48.85340881347656,2.34879994392395,Paris
I1295339012,Boeing (United States),US,United States,Americas,41.85002899169922,-87.6500473022461,Chicago
I1295801184,Netherlands Institute for Neuroscience,NL,Netherlands,Europe,52.37403106689453,4.889689922332764,Amsterdam
I129604602,University of Sydney,AU,Australia,Oceania,-33.86785125732422,151.2073211669922,Sydney
I1297288678,National Renewable Energy Laboratory,US,United States,Americas,39.75553894042969,-105.22109985351562,Golden
I129774422,University of Vienna,AT,Austria,Europe,48.20848846435547,16.372079849243164,Vienna
I1297991670,Southwest University of Science and Technology,CN,China,Asia,31.46784019470215,104.68167877197266,Mianyang
I1298353152,SRI International,US,United States,Americas,37.45383071899414,-122.18218994140625,Menlo Park
I1298453700,Space Science Institute,US,United States,Americas,40.01819610595703,-105.24102783203125,Boulder
I1299022934,United States Department of Health and Human Services,US,United States,Americas,38.895111083984375,-77.03636932373047,Washington
I129902397,Dalhousie University,CA,Canada,Americas,44.6426887512207,-63.576881408691406,Halifax
I1299303238,National Institutes of Health,US,United States,Americas,38.98067092895508,-77.10025787353516,Bethesda
I1299907687,Bloomberg (United States),US,United States,Americas,40.76164627075195,-73.96806335449219,New York
I1302368450,Environmental Protection Agency,US,United States,Americas,38.893741607666016,-77.03043365478516,Washington D.C.
I130238516,University of Minnesota,US,United States,Americas,44.9799690246582,-93.26383972167969,Minneapolis
I1303153112,European Bioinformatics Institute,GB,United Kingdom,Europe,52.20000076293945,0.11666999757289886,Cambridge
I1303691731,European Molecular Biology Organization,DE,Germany,Europe,49.384056091308594,8.71094036102295,Heidelberg
I1304085615,Nvidia (United Kingdom),GB,United Kingdom,Europe,51.426475524902344,-0.987680971622467,Reading
I1304256225,University of Wisconsin System,US,United States,Americas,43.075679779052734,-89.40589904785156,Madison
I130440993,National Security Agency,US,United States,Americas,39.108150482177734,-76.74323272705078,Fort George Meade
I130442723,Universidade Federal do Rio Grande do Sul,BR,Brazil,Americas,-30.03282928466797,-51.23019027709961,Porto Alegre
I1305429384,JPMorgan Chase & Co (United States),US,United States,Americas,40.71157455444336,-74.01075744628906,New York
I1305444813,Capital One (United States),US,United States,Americas,38.92418670654297,-77.21318054199219,Tysons Corner
I1306266525,Goddard Space Flight Center,US,United States,Americas,39.00455093383789,-76.87552642822266,Greenbelt
I1306409833,Adobe Systems (United States),US,United States,Americas,37.330989837646484,-121.89387512207031,San Jose
I1306430637,St. Vincent's Birmingham,US,United States,Americas,33.507293701171875,-86.78898620605469,Birmingham
I1306490931,United States Army Corps of Engineers,US,United States,Americas,38.895111083984375,-77.03636932373047,Washington
I130701444,Georgia Institute of Technology,US,United States,Americas,33.749000549316406,-84.38797760009766,Atlanta
I1307098950,Salk Institute for Biological Studies,US,United States,Americas,32.84727096557617,-117.27420043945312,La Jolla
I130769515,Pennsylvania State University,US,United States,Americas,40.79338836669922,-77.86000061035156,State College
I130828816,University of Leeds,GB,United Kingdom,Europe,53.796478271484375,-1.5478500127792358,Leeds
I1308906816,NortonLifeLock (United States),US,United States,Americas,37.397056579589844,-122.05390930175781,Mountain View
I1310439424,Accenture (Switzerland),CH,Switzerland,Europe,47.36879348754883,8.541092872619629,Zurich
I1311688040,Amazon (United States),US,United States,Americas,47.60620880126953,-122.33206939697266,Seattle
I1312106833,Biotechnology Institute,US,United States,Americas,38.8846435546875,-77.02933502197266,Washington D.C.
I131221577,Bucknell University,US,United States,Americas,40.96453094482422,-76.88440704345703,Lewisburg
I131249849,Oregon State University,US,United States,Americas,44.564571380615234,-123.26203918457031,Corvallis
I131328143,Union Bank of Switzerland,CH,Switzerland,Europe,47.366668701171875,8.550000190734863,Zurich
I1313416372,US Forest Service,US,United States,Americas,38.895111083984375,-77.03636932373047,Washington
I1314135232,Nationwide Children's Hospital,US,United States,Americas,39.961181640625,-82.99878692626953,Columbus
I1315649409,Institute on Taxation and Economic Policy,US,United States,Americas,38.90949249267578,-77.0375747680664,Washington D.C.
I1316535847,Beth Israel Deaconess Medical Center,US,United States,Americas,42.339786529541016,-71.10518646240234,Boston
I1316902750,Cleveland Clinic,US,United States,Americas,41.3841438293457,-81.7184066772461,Cleveland
I1316958739,California Air Resources Board,US,United States,Americas,38.58156967163086,-121.49440002441406,Sacramento
