institution_id,institution_name,country_code,country_name,world_region,latitude,longitude,city,paper_count,region_final
I167576493,Colorado School of Mines,US,United States,Americas,39.75553894042969,-105.22109985351562,Golden,2,North America
I16835326,University of St Andrews,GB,United Kingdom,Europe,56.33871078491211,-2.7990200519561768,St Andrews,4,Europe
I168635309,University of Calgary,CA,Canada,Americas,51.05010986328125,-114.08528900146484,Calgary,34,North America
I168719708,City University of Hong Kong,HK,Hong Kong,Asia,22.2783203125,114.17469024658205,Hong Kong,4,Asia
I168864056,Bilkent University,TR,Türkiye,Europe,39.91986846923828,32.854270935058594,Ankara,1,Europe
I169086405,Winthrop University,US,United States,Americas,34.93888854980469,-81.03055572509766,Rock Hill,1,North America
I169173203,Délégation Paris 7,FR,France,Europe,48.866668701171875,2.416670083999634,Bagnolet,1,Europe
I169381384,University of Groningen,NL,Netherlands,Europe,53.219444274902344,6.5629658699035645,Groningen,19,Europe
I169521973,University of New Mexico,US,United States,Americas,35.08449172973633,-106.65113830566406,Albuquerque,8,North America
I170201317,University of Pittsburgh,US,United States,Americas,40.44062042236328,-79.99588775634766,Pittsburgh,7,North America
I170215575,National University of Defense Technology,CN,China,Asia,28.198740005493164,112.97087097167967,Changsha,1,Asia
I170239107,University of South Australia,AU,Australia,Oceania,-34.92866134643555,138.5986328125,Adelaide,2,Oceania
I170658231,Osnabrück University,DE,Germany,Europe,52.27264022827149,8.049799919128418,Osnabrück,2,Europe
I170897317,Duke University,US,United States,Americas,35.9940299987793,-78.89862060546875,Durham,5,North America
I17145004,Northwestern Polytechnical University,CN,China,Asia,34.258331298828125,108.9286117553711,Xi'an,1,Asia
I172675005,Nanyang Technological University,SG,Singapore,Asia,1.2896699905395508,103.85006713867188,Singapore,9,Asia
I172901346,St Petersburg University,RU,Russian Federation,Europe,59.94200134277344,30.298999786376953,Saint Petersburg,1,Europe
I17301866,University of Alabama,US,United States,Americas,33.2098388671875,-87.56916809082031,Tuscaloosa,1,North America
I173498003,Palo Alto Research Center,US,United States,Americas,37.40271759033203,-122.1479949951172,Palo Alto,13,North America
I173759888,Hunan Normal University,CN,China,Asia,28.198740005493164,112.97087097167967,Changsha,1,Asia
I173911158,Iowa State University,US,United States,Americas,42.03470993041992,-93.61994171142578,Ames,8,North America
I174183983,Maria Curie-Skłodowska University,PL,Poland,Europe,51.25,22.566669464111328,Lublin,1,Europe
I174216632,City University of New York,US,United States,Americas,40.71427154541016,-74.00596618652344,New York,2,North America
I174306211,Technion – Israel Institute of Technology,IL,Israel,Asia,32.81840896606445,34.98849868774414,Haifa,8,Asia
I175594653,John Brown University,US,United States,Americas,36.189998626708984,-94.55860900878906,Siloam Springs,20,North America
I176113532,Gettysburg College,US,United States,Americas,39.830928802490234,-77.2311019897461,Gettysburg,1,North America
I176453806,University of Potsdam,DE,Germany,Europe,52.39886093139648,13.06566047668457,Potsdam,6,Europe
I17653759,Fund for Scientific Research,BE,Belgium,Europe,50.83694076538086,4.370707988739014,Brussels,1,Europe
I177328695,Union College,US,United States,Americas,42.814239501953125,-73.93956756591797,Schenectady,1,North America
I17747738,Beijing University of Chinese Medicine,CN,China,Asia,39.907501220703125,116.39723205566406,Beijing,1,Asia
I177483745,Université Joseph Fourier,FR,France,Europe,45.17869186401367,5.714789867401123,Grenoble,1,Europe
I177605424,Amherst College,US,United States,Americas,42.375370025634766,-72.51924896240234,Amherst Center,1,North America
I177725633,Chinese University of Hong Kong,CN,China,Asia,22.419721603393555,114.20679473876952,Hong Kong,12,Asia
I177802217,University of Mannheim,DE,Germany,Europe,49.483924865722656,8.462201118469238,Mannheim,2,Europe
I177909021,Universidade Federal de São Carlos,BR,Brazil,Americas,-22.017499923706055,-47.890830993652344,São Carlos,2,South America
I177969490,University of Southern Denmark,DK,Denmark,Europe,55.395938873291016,10.388310432434082,Odense,1,Europe
I179026463,Beijing Technology and Business University,CN,China,Asia,39.720340728759766,116.16999816894533,Beijing,2,Asia
I179093154,University of New Hampshire at Manchester,US,United States,Americas,42.98719024658203,-71.4687728881836,Manchester,6,North America
I179225836,University of Augsburg,DE,Germany,Europe,48.33388900756836,10.898332595825195,Augsburg,2,Europe
I17974374,Universidade de São Paulo,BR,Brazil,Americas,-23.54750061035156,-46.6361083984375,São Paulo,14,South America
I179863766,Western Norway University of Applied Sciences,NO,Norway,Europe,60.39299011230469,5.324150085449219,Bergen,1,Europe
I18014758,Simon Fraser University,CA,Canada,Americas,49.266361236572266,-122.95262908935548,Burnaby,47,North America
I180437899,University of Bremen,DE,Germany,Europe,53.07582092285156,8.807169914245605,Bremen,4,Europe
I180670191,"University of California, San Francisco",US,United States,Americas,37.77492904663086,-122.41941833496094,San Francisco,1,North America
I180726961,Shenzhen University,CN,China,Asia,22.54553985595703,114.06829833984376,Shenzhen,10,Asia
I180825142,"City, University of London",GB,United Kingdom,Europe,51.50852966308594,-0.1257400065660476,London,31,Europe
I180923762,University of Cologne,DE,Germany,Europe,50.93333053588867,6.949999809265137,Cologne,4,Europe
I180949307,Illinois Institute of Technology,US,United States,Americas,41.85002899169922,-87.6500473022461,Chicago,1,North America
I180980256,Waters (United States),US,United States,Americas,42.13688659667969,-71.4811019897461,Milford,1,North America
I181233156,University of Oregon,US,United States,Americas,44.05207061767578,-123.08674621582033,Eugene,1,North America
I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,Germany,Europe,49.59098815917969,11.007829666137695,Erlangen,15,Europe
I181391015,Universidade Estadual de Campinas (UNICAMP),BR,Brazil,Americas,-22.90555953979492,-47.060829162597656,Campinas,3,South America
I181653535,San Diego Supercomputer Center,US,United States,Americas,32.7157096862793,-117.16471862792967,San Diego,11,North America
I182083151,Universidad Rey Juan Carlos,ES,Spain,Europe,40.416500091552734,-3.7025599479675297,Madrid,2,Europe
I182627622,Université Sorbonne Nouvelle,FR,France,Europe,48.85340881347656,2.34879994392395,Paris,1,Europe
I182712176,Montanuniversität Leoben,AT,Austria,Europe,47.37649917602539,15.091440200805664,Leoben,1,Europe
I18283598,Wheeling Jesuit University,US,United States,Americas,40.06953048706055,-80.69181823730469,Wheeling,1,North America
I183067930,Shanghai Jiao Tong University,CN,China,Asia,31.22221946716309,121.45806121826172,Shanghai,3,Asia
I183874917,Urbana University,US,United States,Americas,40.09878921508789,-83.76094818115234,Urbana,1,North America
