author_id,papers,citations,awards,author_name
A5003904417,2,48.0,0,N.a. Svakhine
A5003908398,2,33.0,0,Michael Halle
A5003908445,3,69.0,0,Haeyong Chung
A5003934314,2,98.0,0,Wei Hong
A5003970839,2,56.0,0,Bingru Lin
A5003975427,1,42.0,0,Ting-chuen Pong
A5003981917,1,86.0,1,Gary K.l. Tam
A5003986384,1,20.0,0,Neta Sokolovsky
A5003995263,1,6.0,0,Yukun Ren
A5004002416,1,64.0,0,Albert Amor-amorós
A5004036087,2,8.0,0,Ran Cheng
A5004042863,1,44.0,0,Bernd Girod
A5004054174,1,95.0,0,Ian Crandell
A5004071301,1,56.0,0,Harshit Mehrotra
A5004101791,1,6.0,0,S. Crewel
A5004109044,2,21.0,0,Nils Lichtenberg
A5004156285,1,9.0,0,T.k. Dey
A5004184559,2,16.0,0,Tianyu Xiong
A5004194238,8,377.0,0,Dinesh Manocha
A5004210323,1,24.0,0,Ryan Hafen
A5004215313,1,25.0,0,Allan Rocha
A5004224909,1,106.0,0,Olga Sorkine
A5004225142,2,104.0,0,Tongshuang Wu
A5004232884,1,19.0,0,Antonios Somarakis
A5004271027,1,8.0,0,Hongtao Hao
A5004273534,1,4.0,0,Alfred Hough
A5004280362,1,36.0,0,Yunhao Xing
A5004299683,2,26.0,1,Chloe Mortenson
A5004303224,1,22.0,0,Artem Konev
A5004310068,1,87.0,0,Paul Johns
A5004344374,1,4.0,0,Praveen Thiagarajan
A5004344524,2,65.0,0,Dominique Brodbeck
A5004363700,1,3.0,0,Mark Robinson
A5004405532,1,17.0,0,J. Croall
A5004414408,1,0.0,0,H. Drevermann
A5004428276,1,7.0,0,Bingchang Chen
A5004431926,1,14.0,0,R.m. Taylor
A5004436161,1,12.0,0,J. Kaba
A5004449168,1,60.0,0,Jeff Beddow
A5004452139,2,136.0,1,Alexander Kachkaev
A5004467381,1,11.0,1,Jiachen Zhuo
A5004480742,4,379.0,1,Thomas Mühlbacher
A5004513620,2,81.0,0,Elham Sakhaee
A5004534638,1,39.0,0,Guoli Yan
A5004575115,2,40.0,0,Shiaofen Fang
A5004586152,1,33.0,0,Bernhard Fröhler
A5004602626,1,36.0,0,Karthik Ramani
A5004638951,1,21.0,0,Cem Yuksel
A5004642834,1,26.0,0,Tuan Pham
A5004661296,1,362.0,0,Constance M. Bainbridge
A5004662722,1,15.0,0,Mike A. Matheson
A5004676508,1,144.0,1,Sean M. Arietta
A5004678256,1,4.0,0,J.c. Gore
A5004697069,1,3.0,0,K.p. Hinckley
A5004709768,1,6.0,0,Francesca Morini
A5004741568,2,124.0,1,Ying-huey Fua
A5004766305,1,18.0,0,Andrew W. Appel
A5004770347,3,152.0,0,Leonid Zhukov
