author_id,openalex_author_id_url,display_name,orcid,name_variants,source
A5028998272,https://openalex.org/A5028998272,Shubham Mehta,https://orcid.org/0000-0003-4221-7729,"[""Shubham Mehta""]",openalex
A5032486279,https://openalex.org/A5032486279,Atharva Kulkarni,https://orcid.org/0000-0003-4847-4427,"[""Atharva Kulkarni""]",openalex
A5052391925,https://openalex.org/A5052391925,Yuhang Zhao,https://orcid.org/0000-0003-3686-695X,"[""Yuhang Zhao""]",openalex
A5084668442,https://openalex.org/A5084668442,Yea‐Seul Kim,https://orcid.org/0000-0003-1854-1537,"[""Yea‐Seul Kim""]",openalex
A5018322383,https://openalex.org/A5018322383,Tan Tang,https://orcid.org/0000-0002-5260-3087,"[""Tan Tang""]",openalex
A5059548467,https://openalex.org/A5059548467,Ren-Zhong Li,https://orcid.org/0000-0002-6577-036X,"[""Ren-Zhong Li""]",openalex
A5045648348,https://openalex.org/A5045648348,Xinke Wu,https://orcid.org/0000-0002-5024-8990,"[""Xinke Wu""]",openalex
A5084430026,https://openalex.org/A5084430026,Shuhan Liu,https://orcid.org/0000-0002-6627-4843,"[""Shuhan Liu""]",openalex
A5050632485,https://openalex.org/A5050632485,Johannes Knittel,https://orcid.org/0000-0002-4889-5232,"[""Johannes Knittel""]",openalex
A5081147881,https://openalex.org/A5081147881,Peiran Ren,https://orcid.org/0000-0002-9111-055X,"[""Peiran Ren""]",openalex
A5070975377,https://openalex.org/A5070975377,James Tompkin,https://orcid.org/0000-0003-2218-2899,"[""James Tompkin""]",openalex
A5006575291,https://openalex.org/A5006575291,Xumeng Wang,https://orcid.org/0000-0002-9525-9298,"[""Xumeng Wang""]",openalex
A5044425959,https://openalex.org/A5044425959,Huihua Guan,,"[""Huihua Guan""]",openalex
A5100681338,https://openalex.org/A5100681338,Wenlong Chen,https://orcid.org/0000-0001-7993-6386,"[""Wenlong Chen""]",openalex
A5038011119,https://openalex.org/A5038011119,Tianyi Lao,,"[""Tianyi Lao""]",openalex
A5090887035,https://openalex.org/A5090887035,Cesar Palomo,,"[""Cesar Palomo""]",openalex
A5113750867,https://openalex.org/A5113750867,Zhan Guo,,"[""Zhan Guo""]",openalex
A5035842819,https://openalex.org/A5035842819,Changgong Zhang,https://orcid.org/0000-0002-0971-5585,"[""Changgong Zhang""]",openalex
A5005017697,https://openalex.org/A5005017697,Kai Lawonn,https://orcid.org/0000-0002-1511-4022,"[""Kai Lawonn""]",openalex
A5100340834,https://openalex.org/A5100340834,Xiaotong Liu,https://orcid.org/0000-0002-3618-0168,"[""Xiaotong Liu""]",openalex
A5007265753,https://openalex.org/A5007265753,Paul Klemm,https://orcid.org/0000-0002-5985-1737,"[""Paul Klemm""]",openalex
A5004833443,https://openalex.org/A5004833443,Steffen Oeltze‐Jafra,https://orcid.org/0000-0002-6962-9080,"[""Steffen Oeltze‐Jafra""]",openalex
A5060570293,https://openalex.org/A5060570293,Katrin Hegenscheid,https://orcid.org/0000-0001-9620-3205,"[""Katrin Hegenscheid""]",openalex
A5011709769,https://openalex.org/A5011709769,Henry Völzke,https://orcid.org/0000-0001-7003-399X,"[""Henry Völzke""]",openalex
A5112684709,https://openalex.org/A5112684709,Han-Wei Shen,,"[""Han-Wei Shen""]",openalex
A5039512936,https://openalex.org/A5039512936,Christopher Mears,,"[""Christopher Mears""]",openalex
A5040363499,https://openalex.org/A5040363499,Hubert Mara,https://orcid.org/0000-0002-2004-4153,"[""Hubert Mara""]",openalex
A5030890781,https://openalex.org/A5030890781,Jürgen Waser,https://orcid.org/0000-0002-3007-8074,"[""Jürgen Waser""]",openalex
A5086341216,https://openalex.org/A5086341216,Raphael Fuchs,,"[""Raphael Fuchs""]",openalex
A5053360336,https://openalex.org/A5053360336,Carl Hirsch,,"[""Carl Hirsch""]",openalex
A5033107604,https://openalex.org/A5033107604,Benjamin Schindler,,"[""Benjamin Schindler""]",openalex
A5027385475,https://openalex.org/A5027385475,Frederik Seiffert,,"[""Frederik Seiffert""]",openalex
A5080378073,https://openalex.org/A5080378073,Sebastian Boring,https://orcid.org/0000-0002-2289-7512,"[""Sebastian Boring""]",openalex
A5005530908,https://openalex.org/A5005530908,Hans Hagen,https://orcid.org/0000-0001-5626-963X,"[""Hans Hagen""]",openalex
A5067273223,https://openalex.org/A5067273223,Uwe Mikolajewicz,,"[""Uwe Mikolajewicz""]",openalex
