work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2014.2346260,A5031057530,3,Alexander Lex,,"[""I2801851002""]","[""Harvard University Press""]","[""US""]","[""https://ror.org/006v7bf86""]",True
10.1109/tvcg.2014.2346260,A5043151044,4,Hanspeter Pfister,,"[""I2801851002""]","[""Harvard University Press""]","[""US""]","[""https://ror.org/006v7bf86""]",True
10.1109/tvcg.2014.2346260,A5042080340,5,Marc Streit,,"[""I121883995""]","[""Johannes Kepler University of Linz""]","[""AT""]","[""https://ror.org/052r2xn60""]",True
10.1109/tvcg.2013.189,A5042096795,1,Benjamin Köhler,,[],[],[],[],True
10.1109/tvcg.2013.189,A5082209080,2,Rocco Gasteiger,,[],[],[],[],True
10.1109/tvcg.2013.189,A5074995621,3,Uta Preim,,"[""I4210105663""]","[""Deutsches Herzzentrum der Charité""]","[""DE""]","[""https://ror.org/01mmady97""]",True
10.1109/tvcg.2013.189,A5039626800,4,Holger Theisel,,"[""I95793202""]","[""Otto-von-Guericke University Magdeburg""]","[""DE""]","[""https://ror.org/00ggpsq73""]",True
10.1109/tvcg.2013.189,A5079547103,5,Matthias Gutberlet,,"[""I4210105663""]","[""Deutsches Herzzentrum der Charité""]","[""DE""]","[""https://ror.org/01mmady97""]",True
10.1109/tvcg.2013.189,A5034699298,6,Bernhard Preim,,"[""I95793202""]","[""Otto-von-Guericke University Magdeburg""]","[""DE""]","[""https://ror.org/00ggpsq73""]",True
10.1109/tvcg.2011.243,A5082209080,1,Rocco Gasteiger,,"[""I4210138551""]","[""University Hospital Magdeburg""]","[""DE""]","[""https://ror.org/03m04df46""]",True
10.1109/tvcg.2011.243,A5087836838,2,Martin J. Neugebauer,,"[""I4210138551""]","[""University Hospital Magdeburg""]","[""DE""]","[""https://ror.org/03m04df46""]",True
10.1109/tvcg.2011.243,A5030293383,3,Oliver Beuing,,"[""I4210138551""]","[""University Hospital Magdeburg""]","[""DE""]","[""https://ror.org/03m04df46""]",True
