author_id_1,author_id_2,weight
A5039626800,A5088860259,4
A5040517720,A5085695563,4
A5040739360,A5064931337,4
A5040794392,A5073919282,4
A5041484012,A5102306926,4
A5042080340,A5043151044,4
A5043151044,A5063426870,4
A5043151044,A5065943691,4
A5043151044,A5091300565,4
A5045433461,A5048647256,4
A5047677160,A5077191719,4
A5048194226,A5082796790,4
A5048647256,A5072687280,4
A5048780291,A5080292005,4
A5049050148,A5078565296,4
A5049050148,A5108035744,4
A5049830796,A5065868869,4
A5050126617,A5085695563,4
A5050543367,A5100333760,4
A5051590071,A5073619125,4
A5052234283,A5056104510,4
A5052234283,A5064300637,4
A5054749881,A5065630217,4
A5055992752,A5089451178,4
A5056104510,A5064300637,4
A5058028526,A5082234726,4
A5059742070,A5073919282,4
A5060363706,A5073986937,4
A5060363706,A5088199295,4
A5060363706,A5100681023,4
A5060888358,A5066335313,4
A5061027107,A5102902131,4
A5061093749,A5063230893,4
A5062703856,A5080438656,4
A5063110936,A5100649746,4
A5063603168,A5102789360,4
A5064020522,A5100745766,4
A5065040154,A5071681891,4
A5065040154,A5079369129,4
A5065310800,A5073619125,4
A5065630217,A5069974313,4
A5065630217,A5076860785,4
A5065630217,A5088361669,4
A5065644953,A5068799512,4
A5065644953,A5104038125,4
A5068526974,A5100624798,4
A5068805525,A5091379507,4
A5070956346,A5074734666,4
A5071560359,A5079986783,4
A5071898071,A5114031893,4
A5073919282,A5076733321,4
A5073919282,A5079507712,4
A5073986937,A5100653962,4
A5073986937,A5100681023,4
A5077191719,A5108428297,4
A5077204103,A5111985276,4
A5077712580,A5100341745,4
A5077940635,A5110321988,4
A5078565296,A5100404535,4
A5079089831,A5079369129,4
A5080127688,A5102902131,4
A5081346568,A5100344494,4
A5082668404,A5088085186,4
A5082790087,A5091466289,4
A5083454802,A5102013894,4
A5083806955,A5089451178,4
A5085890755,A5091466289,4
A5086223886,A5109928029,4
A5086223886,A5111985276,4
A5086326351,A5091466289,4
A5088199295,A5100681023,4
A5091466289,A5100660205,4
A5091466289,A5101458443,4
A5100331488,A5100653962,4
A5100377652,A5100653962,4
A5102902131,A5108439015,4
A5111981175,A5114031893,4
A5000099153,A5011059989,3
A5000189941,A5037161857,3
A5000413604,A5071220385,3
A5000420564,A5053109913,3
A5000474356,A5012157105,3
A5000474356,A5046324646,3
A5000474356,A5065034146,3
A5000474356,A5100371357,3
A5000474356,A5101416806,3
A5000555892,A5042080340,3
A5000555892,A5043913136,3
A5000695313,A5034785989,3
A5000755776,A5019622072,3
A5000755776,A5031570473,3
A5000755776,A5113922818,3
A5000813954,A5087545747,3
A5000816378,A5084778474,3
A5000858152,A5062288739,3
A5001649622,A5060725233,3
A5001649622,A5071066797,3
A5001966756,A5100341745,3
A5001966756,A5101522343,3
A5002141920,A5061059879,3
A5002832419,A5035785066,3
A5003048902,A5037161857,3
A5003419563,A5038775008,3
A5003419563,A5107904995,3
A5003584200,A5025397194,3
A5003584200,A5029317616,3
A5003584200,A5031297466,3
A5003584200,A5035997603,3
A5003584200,A5036120336,3
A5003584200,A5065868869,3
A5004452139,A5048992354,3
A5004845067,A5026799813,3
A5004845067,A5101409792,3
A5005017697,A5061570075,3
A5005017697,A5086223886,3
A5005110324,A5065630217,3
A5005322254,A5090570042,3
A5005355207,A5075562509,3
A5005355207,A5103406484,3
A5005364495,A5061093749,3
A5005364495,A5063230893,3
A5005458050,A5091466289,3
A5005530908,A5071898071,3
A5005530908,A5077191719,3
A5005537804,A5022294742,3
A5005648942,A5070670810,3
A5005790090,A5056438865,3
A5005790090,A5072400997,3
A5006095483,A5010238198,3
A5006232882,A5047827833,3
A5006593097,A5079916657,3
A5006773757,A5035997603,3
A5006773757,A5064720873,3
A5006773757,A5065868869,3
A5006834901,A5034277315,3
A5007123290,A5018584803,3
A5007628057,A5023631793,3
A5007968836,A5073619125,3
A5008149778,A5023623172,3
A5008149778,A5040517720,3
A5008149778,A5065644953,3
A5008149778,A5068799512,3
A5008149778,A5079089831,3
A5008269094,A5032694211,3
A5008307990,A5030703335,3
A5008493965,A5029336209,3
A5008627422,A5031057530,3
A5008627422,A5079916657,3
A5008754293,A5013856888,3
A5008754293,A5029818256,3
A5008754293,A5039942334,3
A5008754293,A5091300565,3
A5008786958,A5101728710,3
A5008914452,A5041421653,3
