author_id,institution_id,n_papers_with_inst,display_name,ror,country_code,city,region,latitude,longitude,geo_cluster
A2014743128,I180923762,1,University of Cologne,https://ror.org/00rcxh774,DE,Cologne,,50.93333053588867,6.949999809265137,6
A2015009204,I83019370,1,Eindhoven University of Technology,https://ror.org/02c2kyt77,NL,Eindhoven,,51.44083023071289,5.477779865264893,6
A2018762813,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2022576506,I126820664,1,Vassar College,https://ror.org/022x6qg61,US,Town of Poughkeepsie,,41.6698112487793,-73.90702819824219,1
A2023608286,I121934306,1,Tufts University,https://ror.org/05wvpxv85,US,Medford,,42.41843032836914,-71.10616302490234,1
A2034595988,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2039836087,I4210117453,1,Dana-Farber Cancer Institute,https://ror.org/02jzgtq86,US,Boston,,42.358428955078125,-71.05976867675781,1
A2043571136,I200769079,1,Hong Kong University of Science and Technology,https://ror.org/00q4vv597,HK,Hong Kong,,22.2783203125,114.17469024658205,5
A2044747201,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2055533637,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2059514868,I114832834,1,Tulane University,https://ror.org/04vmvtb21,US,New Orleans,,29.95465087890625,-90.0750732421875,1
A2062090202,I23732399,1,Montana State University,https://ror.org/02w0trx84,US,Bozeman,,45.679649353027344,-111.03855895996094,-1
A2063640528,I95457486,1,"University of California, Berkeley",https://ror.org/01an7q238,US,Berkeley,,37.87158966064453,-122.2727508544922,9
A2083709059,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2087252583,I130701444,1,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A2096073198,I155173764,1,Rochester Institute of Technology,https://ror.org/00v4yb702,US,Rochester,,43.154781341552734,-77.61556243896484,1
A2097574197,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2097601609,I131249849,1,Oregon State University,https://ror.org/00ysfqy60,US,Corvallis,,44.564571380615234,-123.26203918457033,3
A2097661864,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2097944852,I78577930,1,Columbia University,https://ror.org/00hj8s172,US,New York,,40.71427154541016,-74.00596618652344,1
A2098122043,I189712700,1,University of Konstanz,https://ror.org/0546hnb39,DE,Konstanz,,47.66033172607422,9.175820350646973,6
A2098449489,I131249849,1,Oregon State University,https://ror.org/00ysfqy60,US,Corvallis,,44.564571380615234,-123.26203918457033,3
A2099156760,I4210108629,1,Computer Network Information Center,https://ror.org/01s0wyf50,CN,Beijing,,39.97991943359375,116.33592224121094,7
A2099699520,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A2099747503,I200769079,1,Hong Kong University of Science and Technology,https://ror.org/00q4vv597,HK,Hong Kong,,22.2783203125,114.17469024658205,5
A2099835616,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2100340696,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
A2100484092,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
