year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
2007,ManyEyes: a Site for Visualization at Internet Scale,['TT'],['Test of Time'],False
2006,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,"['TT', 'BP']","['Test of Time', 'Best Paper']",False
2006,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,['TT'],['Test of Time'],False
2006,Understanding the Structure of the Turbulent Mixing Layer in Hydrodynamic Instabilities,['BA'],['Best Application Paper'],False
2006,A Visual Interface for Multivariate Temporal Data: Finding Patterns of Events across Multiple Histories,['TT'],['Test of Time'],False
2006,On Histograms and Isosurface Statistics,['BP'],['Best Paper'],False
2005,Dig-CoLa: directed graph layout through constrained energy minimization,['BP'],['Best Paper'],False
2005,High dynamic range volume visualization,['BA'],['Best Application Paper'],False
2005,The value of visualization,"['TT', 'BP']","['Test of Time', 'Best Paper']",False
2004,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,['TT'],['Test of Time'],False
2004,Simplifying flexible isosurfaces using local geometric measures,['TT'],['Test of Time'],False
2004,A Knowledge Task-Based Framework for Design and Evaluation of Information Visualizations,['BP'],['Best Paper'],False
2004,STEPS - an application for simulation of transsphenoidal endonasal pituitary surgery,['BA'],['Best Application Paper'],False
2004,Adaptive 4-8 texture hierarchies,['BP'],['Best Paper'],False
2003,Interactive protein manipulation,['BA'],['Best Application Paper'],False
2003,Counting cases in marching cubes: toward a generic algorithm for producing substitopes,['BP'],['Best Paper'],False
2003,"Interactive hierarchical dimension ordering, spacing and filtering for exploration of high dimensional datasets",['TT'],['Test of Time'],False
2003,Smooth and efficient zooming and panning,['BP'],['Best Paper'],False
2003,Acceleration techniques for GPU-based volume rendering,['TT'],['Test of Time'],False
2002,Efficient computation of the topology of level sets,['TT'],['Test of Time'],False
2002,Non-photorealistic volume rendering using stippling techniques,['BP'],['Best Paper'],False
2002,Multiscale visualization using data cubes,['BP'],['Best Paper'],False
2001,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,['BP'],['Best Paper'],False
2000,Volume illustration: non-photorealistic rendering of volume models,['BP'],['Best Paper'],False
2000,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",['TT'],['Test of Time'],False
1999,Cluster and calendar based visualization of time series data,['TT'],['Test of Time'],False
1999,Hue-balls and lit-tensors for direct volume rendering of diffusion tensor fields,['BP'],['Best Paper'],False
1999,Hierarchical parallel coordinates for exploration of large datasets,['TT'],['Test of Time'],False
1998,Smooth view-dependent level-of-detail control and its application to terrain rendering,['TT'],['Test of Time'],False
1998,Interactive ray tracing for isosurface rendering,['BP'],['Best Paper'],False
1998,An operator interaction framework for visualization systems,['TT'],['Test of Time'],False
1998,Production visualization for the ASCI One TeraFLOPS machine,['BCS'],['Best Case Study'],False
1997,An anti-aliasing technique for splatting,['BP'],['Best Paper'],False
